time,open,high,low,close,EMA 9,EMA 21,Entry,TP,SL,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1765515600,59325.9,59352.95,59259.55,59274.5,59340.70600724638,59288.145166913695,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3507686,3953453.85
1765516500,59276.1,59312.35,59224.85,59239.1,59320.384805797104,59283.68651537609,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3653617,3948610.85
1765517400,59240.65,59326.8,59231.25,59285.4,59313.387844637684,59283.842286705534,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2300335,3929251.65
1765518300,59291.45,59440.6,59282.6,59415.7,59333.850275710145,59295.829351550485,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2943865,3962898.6
1765519200,59416.8,59443.9,59391.8,59405.75,59348.23022056812,59305.82213777317,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,1950701,3923643.35
1765520100,59404.2,59441,59383.15,59409.9,59360.56417645449,59315.28376161197,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,5404460,4026777.25
1765521000,59406.65,59434.55,59328.3,59382.25,59364.9013411636,59321.37160146543,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2352668,4030115.3
1765521900,59380.95,59418.4,59353.55,59398.4,59371.60107293088,59328.37418315039,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3251334,4079857.45
1765522800,59398.05,59411.9,59352.9,59369.45,59371.1708583447,59332.108348318536,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2308828,4096300.7
1765523700,59370.75,59387.9,59350,59369.6,59370.85668667576,59335.51668028958,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2296393,4104078.15
1765524600,59369.95,59382.45,59315.9,59378.7,59372.42534934061,59339.44243662689,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3321149,4126285.85
1765525500,59378.4,59381.2,59319.95,59319.95,59361.930279472486,59337.670396933536,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2128835,4042865.6
1765526400,59325.65,59353.45,59310.6,59343.65,59358.27422357799,59338.213997212304,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2200842,3932134.05
1765527300,59344.85,59376.05,59328.15,59353.95,59357.40937886239,59339.64454292028,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3133866,3777543.95
1765528200,59354.4,59439.95,59349.05,59389.15,59363.75750308991,59344.14503901843,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,9601531,3891312.8
1765529100,59388.1,59407.5,59363.1,59373.1,59365.62600247193,59346.77730819857,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3845395,3705643.75
1765530000,59375.6,59395.7,59336.45,59358.55,59364.21080197755,59347.84755290779,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3897240,3653397.3
1765530900,59358.8,59360.35,59335.65,59343.3,59360.02864158204,59347.434139007084,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3381105,3534625.5
1765531800,59340.8,59418.75,59340.8,59408.1,59369.64291326563,59352.949217279165,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,7721722,3753032.95
1765532700,59405.45,59426.15,59367.15,59396.8,59375.0743306125,59356.93565207197,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,10279034,3974030.3
1765770300,59053.35,59357.3,59052.3,59178.3,59335.71946449,59340.696047338155,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,10466828,4321987.4
1765771200,59180,59195.55,59103.4,59120.35,59292.645571592,59320.664588489235,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,4693215,4373967.3
1765772100,59115.6,59203.35,59097.55,59195.95,59273.306457273604,59309.326898626576,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3159725,4416936.8
1765773000,59196.15,59214.9,59149.8,59212.25,59261.095165818886,59300.50172602416,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,3208481,4430167.6
1765773900,59213.85,59251.55,59199.4,59247.8,59258.43613265511,59295.71066002196,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2626705,4463967.8
1765774800,59246.75,59263.15,59138.2,59182.1,59243.16890612408,59285.382418201785,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2767863,4332137.95
1765775700,59183.15,59299,59179.15,59254.8,59245.495124899266,59282.60219836526,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,2964569,4362733
1765776600,59258.35,59271.65,59236.95,59258.35,59248.066099919415,59280.397453059326,0,0,0,60114.3,58649.5,57157.85,55821,54226.6,3,1,1,1,,,,4136608,4406996.7
