time,open,high,low,close,EMA 9,EMA 21,Entry,TP,SL,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1618803900,218,239,211.300005,232.625,,,0,0,0,,,,,,0,0,0,0,,,,22102730,
1618890300,234,256.92499,228.675005,251.550005,,,0,0,0,,,,,,0,0,0,0,,,,11705072,
1619063100,249,271.375,245.800005,261.875,,,0,0,0,,,,,,0,0,0,0,,,,4728296,
1619149500,261.399995,268.45001,258.850005,265.350005,,,0,0,0,,,,,,0,0,0,0,,,,2300838,
1619408700,266,293,266,290.04999,,,0,0,0,,,,,,0,0,0,0,,,,4139576,
1619495100,288,306.375,285.524995,302.20001,,,0,0,0,,,,,,0,0,0,0,,,,4373976,
1619581500,302.399995,310,298.100005,307.82501,,,0,0,0,,,,,,0,0,0,0,,,,1970340,
1619667900,309.375,309.5,290.57501,300.82501,,,0,0,0,,,,,,0,0,0,0,,,,3749610,
1619754300,296,310.95001,294.04999,296.850005,278.7944483333333,,0,0,0,,,,,,0,0,0,0,,,,689580,
1620013500,295,302.5,285.100005,299.649995,282.96555766666665,,0,0,0,,,,,,0,0,0,0,,,,848474,
1620099900,300.625,304,291.350005,298.850005,286.14244713333335,,0,0,0,,,,,,0,0,0,0,,,,587900,
1620186300,295.5,306,293.75,303,289.5139577066667,,0,0,0,,,,,,0,0,0,0,,,,582008,
1620272700,303,306.125,297.774995,300.975005,291.80616716533336,,0,0,0,,,,,,0,0,0,0,,,,281584,
1620359100,301.5,319,301.5,315.875,296.6199337322667,,0,0,0,,,,,,0,0,0,0,,,,2697842,
1620618300,315,379.04999,314.92499,345.875,306.4709469858134,,0,0,0,,,,,,0,0,0,0,,,,3202552,
1620704700,342.399995,351.350005,337.57501,345.850005,314.3467585886507,,0,0,0,,,,,,0,0,0,0,,,,938596,
1620791100,350,355.125,317.475005,323.32501,316.1424088709206,,0,0,0,,,,,,0,0,0,0,,,,1409480,
1620963900,332.45001,335.725005,307.25,323.95001,317.7039290967365,,0,0,0,,,,,,0,0,0,0,,,,1291314,
