time,open,high,low,close,EMA 9,EMA 21,Entry,TP,SL,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1776744900,24465.95,24510.6,24465.95,24502.2,24450.612280563986,24426.80585308936,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,8615180,7667872.45
1776745200,24501.4,24512.35,24485,24499.3,24460.34982445119,24433.396230081238,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,5164490,7675222.5
1776745500,24499.05,24501.95,24491.4,24499.25,24468.12985956095,24439.38293643749,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3931296,7596140.2
1776745800,24499.95,24516.95,24498.3,24516.1,24477.72388764876,24446.357214943175,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3889452,7549395.8
1776746100,24516.15,24524.85,24507.1,24522.2,24486.61911011901,24453.252013584704,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,4041515,7511284
1776746400,24523.2,24524,24510.75,24513.15,24491.925288095208,24458.697285077003,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3855442,7450099.85
1776746700,24513.45,24524.65,24505.6,24506.2,24494.780230476168,24463.015713706365,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3673294,7436509.85
1776747000,24506.8,24507.45,24495.05,24499.45,24495.714184380933,24466.32792155124,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,4216586,7433428.1
1776747300,24499.6,24500.5,24487.5,24495.4,24495.651347504747,24468.970837773857,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3643329,7253749.15
1776747600,24493.6,24528.25,24491.2,24527.2,24501.9610780038,24474.264397976232,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,4669917,7098501.45
1776747900,24527.8,24535.15,24524.2,24531.75,24507.91886240304,24479.490361796576,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,4225924,6886139.9
1776748200,24531.1,24534.65,24515.85,24529.1,24512.15508992243,24484.00032890598,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,5286835,6542347
1776748500,24528.05,24533.55,24517.65,24525.5,24514.824071937946,24487.773026278162,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3540332,6132162.8
1776748800,24525.8,24544.3,24522.3,24541.3,24520.119257550356,24492.63911479833,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3641011,5772246.25
1776749100,24542.35,24561.5,24541.9,24549.1,24525.915406040283,24497.771922543936,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3717919,4965962.4
1776749400,24549.25,24557.9,24540,24553.15,24531.362324832226,24502.80629322176,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3704808,4727074.7
1776749700,24552.5,24565.1,24548.35,24553.4,24535.76985986578,24507.405721110692,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,4297065,4580864.9
1776750000,24554.05,24557.55,24543.8,24557.45,24540.105887892623,24511.95520100972,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,2752208,4412432.65
1776750300,24556.45,24557.1,24546.25,24550.8,24542.2447103141,24515.486546372475,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,2967250,4251711.65
1776750600,24551.05,24552.1,24535.2,24541.6,24542.11576825128,24517.86049670225,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3094222,4146403.75
1776750900,24541.75,24544.1,24529.95,24539.15,24541.522614601025,24519.795906092957,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3585677,3894928.6
1776751200,24539.2,24539.2,24516.4,24518.2,24536.85809168082,24519.65082372087,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,6099201,3941664.15
1776751500,24517.7,24533.05,24513.65,24523.3,24534.146473344656,24519.98256701897,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,6337045,4061951.6
1776751800,24524.8,24529.25,24516.2,24528.25,24532.967178675724,24520.73415183543,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,4435546,4089256.3
1776752100,24528,24543.95,24527.85,24530.85,24532.54374294058,24521.653774395843,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,4097265,4092043.8
1776752400,24530.3,24532.55,24521.8,24527.5,24531.534994352463,24522.185249450766,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3590238,4078783.6
1776752700,24527.25,24538.35,24524.95,24531.3,24531.48799548197,24523.01386313706,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,2913299,4040783.85
1776753000,24531.65,24542.55,24527.2,24540.3,24533.250396385574,24524.585330124602,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3368669,3998388
1776753300,24540.4,24548.4,24536.45,24543.6,24535.32031710846,24526.313936476912,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,2943317,3963387.4
1776753600,24543.65,24569.15,24543.25,24559.05,24540.066253686768,24529.289942251737,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,5318674,3995825.25
1776753900,24559,24561.9,24547.2,24561.25,24544.303002949415,24532.195402047033,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,4013651,3985211.6
1776754200,24561.65,24570.95,24555.8,24558.4,24547.12240235953,24534.577638224575,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,5125156,3977127.65
1776754500,24558.9,24564.85,24545.6,24548.75,24547.447921887626,24535.866034749615,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,4271730,4013697.55
1776754800,24547.2,24571.25,24547.1,24547.1,24547.3783375101,24536.887304317832,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,5493084,4106301.2
1776755100,24547.95,24564.35,24546.65,24555.6,24549.022670008082,24538.588458470756,0,0,0,23555.6,24074.05,,,,4,1,1,1,,,,3756599,4108235.2
