time,open,high,low,close,EMA 9,EMA 21,Entry,TP,SL,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1274154300,58.6,59.559998,57.709998,58.370002,59.67837046339031,59.63365510805667,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,187445,700559
1274240700,57.590002,58.179998,54,55.220002,58.78669677071225,59.232413916415155,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,257305,633017.25
1274327100,55.129998,55.579998,53.4,54.479998,57.9253570165698,58.80037610583196,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,163940,602436.75
1274413500,54,54.4,52.4,53.5,57.04028561325584,58.318523732574505,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,117840,569436
1274672700,52.8,55.6,52.6,53.279998,56.28822809060467,57.8604759387041,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,176825,561280.25
1274759100,53.4,53.4,50.96,51.620002,55.35458287248373,57.293160126094634,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,79580,556333.5
1274845500,52.2,60.8,50.09,57.190002,55.72166669798698,57.283782114631485,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,1671000,623045.75
1274931900,57.420002,59.8,56.040002,58.6,56.29733335838959,57.403438286028624,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,381605,622475.75
1275018300,59,60.4,55.8,59.290002,56.89586708671167,57.57494407820784,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,603160,598959
1275277500,59.2,60.340002,58.4,59.5,57.41669366936934,57.74994916200713,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,242590,549406.75
1275363900,59.790002,61.8,58.179998,58.590002,57.65135533549547,57.82631760182466,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,900005,573309
1275450300,57.6,59.990002,57.6,58.520002,57.82508466839637,57.8893798198406,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,254665,554868.75
1275536700,59.8,59.8,58.070002,58.429998,57.9460673347171,57.93852692712782,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,110500,533665
1275623100,58.979998,59.190002,57.7,58.220002,58.00085426777368,57.9641155701162,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,67740,443180.75
1275882300,56.3,57.8,56.3,57.220002,57.844683814218946,57.896468881923816,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,93495,382661.5
1275968700,57.2,58.4,56.6,57.079998,57.691746651375155,57.822244256294375,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,137945,340372.5
1276055100,57.690002,57.979998,56.9,57.159998,57.58539692110013,57.762040051176704,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,81100,314987.25
1276141500,57.2,57.6,56.809998,57.259998,57.5203171368801,57.7163998647061,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,24890,306408
1276227900,57.259998,57.8,56.409998,56.709998,57.35825330950408,57.624908786096455,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,48835,293993.75
1276487100,56.709998,57.309998,56.040002,56.490002,57.18460304760326,57.52173544190587,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,20650,281055.75
1276573500,56.940002,59.6,56.770002,57.679998,57.28368203808261,57.53612294718715,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,409285,292147.75
1276659900,58.390002,59,57.25,57.479998,57.32294523046609,57.53102067926105,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,74730,283019
1276746300,57.9,57.9,54.8,57.170002,57.29235658437287,57.498200799328224,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,52950,277469.5
1276832700,57.170002,59.1,56.65,58.020002,57.43788566749829,57.545637272116565,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,238855,283520.25
1277091900,57.890002,58.170002,57.259998,57.720002,57.49430893399863,57.56148861101506,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,45265,276942.25
1277178300,57.520002,57.520002,56.429998,56.740002,57.343447547198906,57.48680801001369,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,27910,274358.75
1277264700,56.409998,56.959998,56,56.329998,57.14075763775912,57.38164346364881,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,31250,192371.25
1277351100,57.05,57.5,56.459998,56.779998,57.0686057102073,57.32694842149891,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,25885,174585.25
1277437500,57.1,58.6,57.1,57.529998,57.16088416816584,57.34540747408992,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,96280,149241.25
1277696700,57.7,57.979998,56.8,57.029998,57.13470693453267,57.31673388553629,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,31400,138681.75
1277783100,57.540002,60.059998,56.829998,57.990002,57.305765947626135,57.37794007776026,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,846760,136019.5
1277869500,57.6,58.779998,57.429998,58.329998,57.51061235810091,57.46449079796387,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,71790,126875.75
1277955900,57.8,59.340002,57.7,58.320002,57.67249028648072,57.542264543603515,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,105600,126630.75
1278042300,57.8,59.5,57.4,58.25,57.78799222918458,57.606604130548654,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,226150,134551.25
1278301500,58,58.979998,57.4,57.709998,57.77239338334766,57.616003573226045,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,231015,141427.25
1278387900,57.709998,59.859998,57.709998,58.879998,57.99391430667813,57.73091215747822,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,253135,147186.75
1278474300,58.4,58.95,57.659998,57.970002,57.989131845342506,57.75264759770747,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,59280,146095.75
1278560700,58.9,58.940002,57.620002,58.429998,58.077305076274,57.814224907006796,0,0,0,64.5,26.26,23.95,,,1,1,1,1,,,,107785,150240.5
