time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
991920600,0.583328,0.608327,0.570828,0.570828,,,0,0,0,,,,,,0,0,0,0,,,,200400,
992007000,0.566661,0.566661,0.562494,0.562494,,,0,0,0,,,,,,0,0,0,0,,,,49200,
992266200,0.566661,0.579161,0.566661,0.570828,,,0,0,0,,,,,,0,0,0,0,,,,106800,
992352600,0.570828,0.574994,0.566661,0.566661,,,0,0,0,,,,,,0,0,0,0,,,,334800,
992439000,0.570828,0.570828,0.554161,0.557494,,,0,0,0,,,,,,0,0,0,0,,,,94800,
992525400,0.558328,0.558328,0.520828,0.527495,,,0,0,0,,,,,,0,0,0,0,,,,163200,
992611800,0.520828,0.520828,0.509162,0.515828,,,0,0,0,,,,,,0,0,0,0,,,,111600,
992871000,0.509995,0.509995,0.505828,0.505828,,,0,0,0,,,,,,0,0,0,0,,,,67200,
992957400,0.508328,0.508328,0.459995,0.459995,0.5374945555555555,,0,0,0,,,,,,0,0,0,0,,,,237600,
993043800,0.458329,0.458329,0.445829,0.445829,0.5191614444444443,,0,0,0,,,,,,0,0,0,0,,,,56400,
993130200,0.445829,0.445829,0.445829,0.445829,0.5044949555555555,,0,0,0,,,,,,0,0,0,0,,,,7200,
993216600,0.445829,0.479162,0.445829,0.479162,0.4994283644444444,,0,0,0,,,,,,0,0,0,0,,,,142800,
993475800,0.479162,0.483329,0.474995,0.479162,0.4953750915555555,,0,0,0,,,,,,0,0,0,0,,,,92400,
993562200,0.474995,0.519995,0.474995,0.519995,0.5002990732444443,,0,0,0,,,,,,0,0,0,0,,,,49200,
993648600,0.504162,0.508328,0.504162,0.508328,0.5019048585955554,,0,0,0,,,,,,0,0,0,0,,,,55200,
993735000,0.511662,0.511662,0.511662,0.511662,0.5038562868764443,,0,0,0,,,,,,0,0,0,0,,,,3600,
993821400,0.516662,0.540828,0.516662,0.533328,0.5097506295011555,,0,0,0,,,,,,0,0,0,0,,,,98400,
994080600,0.533328,0.537495,0.529161,0.533328,0.5144661036009244,,0,0,0,,,,,,0,0,0,0,,,,292800,
994167000,0.529161,0.529161,0.529161,0.529161,0.5174050828807395,,0,0,0,,,,,,0,0,0,0,,,,12000,
994339800,0.529161,0.529161,0.529161,0.529161,0.5197562663045916,,0,0,0,,,,,,0,0,0,0,,,,16800,109620
994426200,0.524995,0.524995,0.516662,0.520828,0.5199706130436733,0.5177725714285715,0,0,0,,,,,,0,0,0,0,,,,28800,101040
994685400,0.516662,0.520828,0.499995,0.499995,0.5159754904349386,0.5161564285714286,0,0,0,,,,,,0,0,0,0,,,,96000,103380
994771800,0.499995,0.499995,0.499995,0.499995,0.5127793923479509,0.5146872077922079,0,0,0,,,,,,0,0,0,0,,,,174000,106740
994858200,0.499995,0.504162,0.499995,0.504162,0.5110559138783607,0.513730370720189,0,0,0,,,,,,0,0,0,0,,,,13200,90660
994944600,0.504162,0.504162,0.495828,0.495828,0.5080103311026886,0.5121028824728991,0,0,0,,,,,,0,0,0,0,,,,109200,91380
995031000,0.495828,0.499995,0.494995,0.494995,0.5054072648821508,0.5105476204299083,0,0,0,,,,,,0,0,0,0,,,,33600,84900
995290200,0.491662,0.492495,0.487495,0.487495,0.5018248119057207,0.508451927663553,0,0,0,,,,,,0,0,0,0,,,,72000,82920
995376600,0.483329,0.483329,0.483329,0.483329,0.49812564952457655,0.5061680251486845,0,0,0,,,,,,0,0,0,0,,,,3600,79740
995463000,0.483329,0.483329,0.479162,0.479162,0.49433291961966125,0.5037129319533495,0,0,0,,,,,,0,0,0,0,,,,96000,72660
995549400,0.470829,0.470829,0.466662,0.466662,0.488798735695729,0.500344665412136,0,0,0,,,,,,0,0,0,0,,,,164400,78060
995635800,0.479162,0.479162,0.466662,0.466662,0.48437138855658324,0.4972826049201236,0,0,0,,,,,,0,0,0,0,,,,42000,79800
995895000,0.479162,0.487495,0.467495,0.470829,0.4816629108452666,0.49487773174556693,0,0,0,,,,,,0,0,0,0,,,,67200,76020
995981400,0.487495,0.495828,0.475829,0.480829,0.4814961286762133,0.4936005743141518,0,0,0,,,,,,0,0,0,0,,,,222000,82500
996067800,0.473329,0.473329,0.473329,0.473329,0.4798627029409706,0.49175770392195617,0,0,0,,,,,,0,0,0,0,,,,21600,81120
996154200,0.473329,0.477495,0.473329,0.477495,0.4793891623527765,0.4904610944745056,0,0,0,,,,,,0,0,0,0,,,,31200,79920
996240600,0.479995,0.488328,0.477495,0.488328,0.4811769298822212,0.4902671767950051,0,0,0,,,,,,0,0,0,0,,,,55200,82500
996499800,0.489162,0.509995,0.489162,0.508328,0.486607143905777,0.49190906981364096,0,0,0,,,,,,0,0,0,0,,,,58800,80520
996586200,0.504162,0.520828,0.501662,0.520828,0.4934513151246216,0.49453806346694634,0,0,0,,,,,,0,0,0,0,,,,224400,77100
996672600,0.520828,0.520828,0.516662,0.516662,0.49809345209969724,0.49654933042449667,0,0,0,,,,,,0,0,0,0,,,,21600,77580
996759000,0.520828,0.520828,0.511662,0.516662,0.5018071616797578,0.4983777549313606,0,0,0,,,,,,0,0,0,0,,,,88800,81180
996845400,0.521661,0.521661,0.516662,0.516662,0.5047781293438063,0.5000399590285096,0,0,0,,,,,,0,0,0,0,,,,404404,99960.2
