time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1119447000,16.52,16.75,14.9,15.44,,,0,0,0,,,,,,0,0,0,0,,,,8498047,
1119533400,15.42,15.6,15.15,15.45,,,0,0,0,,,,,,0,0,0,0,,,,1060413,
1119619800,15.65,15.65,15.15,15.35,,,0,0,0,,,,,,0,0,0,0,,,,398179,
1119879000,15.55,15.55,15.01,15.2,,,0,0,0,,,,,,0,0,0,0,,,,221037,
1119965400,15.2,15.99,15.2,15.99,,,0,0,0,,,,,,0,0,0,0,,,,521729,
1120051800,16,16.08,15.8,16.03,,,0,0,0,,,,,,0,0,0,0,,,,230276,
1120138200,16,16.25,15.9,16.2,,,0,0,0,,,,,,0,0,0,0,,,,479394,
1120224600,16.3,16.39999,16.144,16.24001,,,0,0,0,,,,,,0,0,0,0,,,,147943,
1120570200,16.25,16.25,16,16.05,15.772223333333333,,0,0,0,,,,,,0,0,0,0,,,,336430,
1120656600,16.03999,16.05,15.75,15.81,15.779778666666667,,0,0,0,,,,,,0,0,0,0,,,,135299,
1120743000,15.7,16,15.6,16,15.823822933333334,,0,0,0,,,,,,0,0,0,0,,,,251426,
1120829400,16.03999,16.2,15.9,16.2,15.899058346666667,,0,0,0,,,,,,0,0,0,0,,,,106207,
1121088600,16.32001,16.99001,16,16.25,15.969246677333334,,0,0,0,,,,,,0,0,0,0,,,,414109,
1121175000,16.14999,16.49001,16.08,16.34,16.04339734186667,,0,0,0,,,,,,0,0,0,0,,,,390189,
1121261400,16.27,16.8,16.25,16.31599,16.097915873493335,,0,0,0,,,,,,0,0,0,0,,,,245167,
1121347800,16.39999,16.5,16.10001,16.19,16.11633269879467,,0,0,0,,,,,,0,0,0,0,,,,173097,
1121434200,16.2,16.35001,16.05,16.23,16.139066159035735,,0,0,0,,,,,,0,0,0,0,,,,220725,
1121693400,16.19,16.39999,16.16,16.31,16.17325292722859,,0,0,0,,,,,,0,0,0,0,,,,359200,
1121779800,16.39999,16.5,16.2,16.25999,16.190600341782872,,0,0,0,,,,,,0,0,0,0,,,,985785,
1121866200,16.2,16.75,16.2,16.60989,16.274458273426298,,0,0,0,,,,,,0,0,0,0,,,,271775,772321.35
1121952600,16.62,16.89999,16.48,16.53,16.32556661874104,16.047422857142855,0,0,0,,,,,,0,0,0,0,,,,199162,357377.1
1122039000,16.64999,16.7,16.22,16.60001,16.38045529499283,16.097658051948052,0,0,0,,,,,,0,0,0,0,,,,220303,315371.6
1122298200,16.64,16.92999,16.5,16.61,16.426364235994264,16.144234592680046,0,0,0,,,,,,0,0,0,0,,,,217727,306349
1122384600,17.2,18.41,16.89999,17.89999,16.72108938879541,16.303848720618223,0,0,0,,,,,,0,0,0,0,,,,1347156,362654.95
1122471000,18.49001,18.99001,17.59,18.85001,17.14687351103633,16.535317927834747,0,0,0,,,,,,0,0,0,0,,,,1203397,396738.35
1122557400,20.94,21,19.8,20.17999,17.753496808829063,16.86665175257704,0,0,0,,,,,,0,0,0,0,,,,1152771,442863.1
1122643800,20.17999,20.60001,19.25999,20,18.20279744706325,17.151501593251854,0,0,0,,,,,,0,0,0,0,,,,287267,433256.75
1122903000,20,20.08,19.31,19.84,18.530237957650602,17.395910539319868,0,0,0,,,,,,0,0,0,0,,,,219907,436854.95
