time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
386519400,5.805439,5.805439,5.555444,5.805439,,,0,0,0,,,,,,0,0,0,0,,,,1474226,
386605800,5.833217,6.055434,5.833217,5.99988,,,0,0,0,,,,,,0,0,0,0,,,,1710932,
386865000,5.99988,6.110989,5.99988,6.055434,,,0,0,0,,,,,,0,0,0,0,,,,1604731,
386951400,6.027657,6.027657,5.944326,6.027657,,,0,0,0,,,,,,0,0,0,0,,,,1361725,
387037800,6.027657,6.0971,6.013769,6.055434,,,0,0,0,,,,,,0,0,0,0,,,,1206024,
387124200,6.055434,6.152655,6.013769,6.110989,,,0,0,0,,,,,,0,0,0,0,,,,1188020,
387469800,6.110989,6.138766,6.013769,6.027657,,,0,0,0,,,,,,0,0,0,0,,,,805514,
387556200,6.027657,6.0971,6.013769,6.083212,,,0,0,0,,,,,,0,0,0,0,,,,1282524,
387642600,6.069323,6.069323,6.013769,6.055434,6.0245706666666665,,0,0,0,,,,,,0,0,0,0,,,,207002,
387729000,6.055434,6.055434,5.972103,6.041546,6.027965733333334,,0,0,0,,,,,,0,0,0,0,,,,331206,
387815400,6.041546,6.083212,6.013769,6.041546,6.030681786666667,,0,0,0,,,,,,0,0,0,0,,,,576908,
388074600,6.041546,6.110989,6.041546,6.055434,6.035632229333334,,0,0,0,,,,,,0,0,0,0,,,,713713,
388161000,6.055434,6.069323,6.013769,6.041546,6.036814983466668,,0,0,0,,,,,,0,0,0,0,,,,508508,
388247400,6.027657,6.027657,5.972103,5.972103,6.023872586773334,,0,0,0,,,,,,0,0,0,0,,,,254702,
388333800,5.972103,6.027657,5.958214,5.985991,6.0162962694186675,,0,0,0,,,,,,0,0,0,0,,,,576008,
388420200,5.694331,5.694331,5.652665,5.694331,5.951903215534934,,0,0,0,,,,,,0,0,0,0,,,,3060960,
388675800,5.694331,5.694331,5.49989,5.569333,5.875389172427947,,0,0,0,,,,,,0,0,0,0,,,,3427267,
388762200,5.569333,5.569333,5.458224,5.472113,5.7947339379423575,,0,0,0,,,,,,0,0,0,0,,,,2219443,
388848600,5.472113,5.527667,5.444336,5.444336,5.724654350353886,,0,0,0,,,,,,0,0,0,0,,,,542708,
388935000,5.444336,5.513779,5.416558,5.416558,5.663035080283109,,0,0,0,,,,,,0,0,0,0,,,,423907,1173801.4
389021400,5.388781,5.388781,5.333227,5.347115,5.599851064226487,5.871575619047619,0,0,0,,,,,,0,0,0,0,,,,2470548,1223617.5
389280600,5.347115,5.347115,5.263784,5.291561,5.53819305138119,5.818847017316018,0,0,0,,,,,,0,0,0,0,,,,1687531,1222447.45
389367000,5.291561,5.305449,5.277672,5.305449,5.491644241104952,5.772174470287289,0,0,0,,,,,,0,0,0,0,,,,1632631,1223842.45
389453400,5.305449,5.305449,5.249895,5.291561,5.451627592883962,5.728482336624808,0,0,0,,,,,,0,0,0,0,,,,587708,1185141.6
389539800,5.291561,5.333227,5.249895,5.305449,5.422391874307169,5.690024760568007,0,0,0,,,,,,0,0,0,0,,,,1586730,1204176.9
389626200,5.305449,5.305449,5.194341,5.222118,5.382337099445735,5.647487782334552,0,0,0,,,,,,0,0,0,0,,,,2665850,1278068.4
389885400,5.222118,5.291561,5.208229,5.236006,5.353070879556588,5.610080347576865,0,0,0,,,,,,0,0,0,0,,,,1100720,1292828.7
389971800,5.277672,5.361004,5.277672,5.347115,5.35187970364527,5.586174406888059,0,0,0,,,,,,0,0,0,0,,,,941418,1275773.4
390058200,5.347115,5.361004,5.083232,5.083232,5.298150162916216,5.540452369898236,0,0,0,,,,,,0,0,0,0,,,,2474148,1389130.7
390144600,4.652685,4.652685,4.527687,4.569353,5.152390730332973,5.452170608998396,0,0,0,,,,,,0,0,0,0,,,,15328206,2138980.7
390231000,4.638796,4.708239,4.638796,4.694351,5.060782784266379,5.383277917271269,0,0,0,,,,,,0,0,0,0,,,,4312885,2325779.55
390490200,4.694351,4.722128,4.666573,4.694351,4.987496427413103,5.320648197519335,0,0,0,,,,,,0,0,0,0,,,,1360825,2358135.15
390576600,4.694351,4.694351,4.652685,4.666573,4.923311741930482,5.261186815926669,0,0,0,,,,,,0,0,0,0,,,,1487726,2407096.05
390663000,4.638796,4.638796,4.569353,4.583242,4.855297793544386,5.1995554690242445,0,0,0,,,,,,0,0,0,0,,,,2322944,2510508.15
390749400,4.569353,4.569353,4.486021,4.555464,4.795331034835509,5.14100169911295,0,0,0,,,,,,0,0,0,0,,,,2007938,2582104.65
390835800,4.527687,4.527687,4.472133,4.486021,4.733469027868407,5.08145799919359,0,0,0,,,,,,0,0,0,0,,,,1656031,2511858.2
391095000,4.486021,4.486021,4.361024,4.374913,4.661757822294725,5.017226635630537,0,0,0,,,,,,0,0,0,0,,,,3863774,2533683.55
391181400,4.388801,4.458244,4.388801,4.388801,4.60716645783578,4.960097032391397,0,0,0,,,,,,0,0,0,0,,,,2444448,2544933.8
391267800,4.388801,4.388801,4.291581,4.319358,4.549604766268624,4.901848029446725,0,0,0,,,,,,0,0,0,0,,,,2028638,2619230.3
391354200,4.319358,4.319358,4.263804,4.305469,4.5007776130148995,4.847631754042477,0,0,0,,,,,,0,0,0,0,,,,1105220,2653295.95
391440600,4.305469,4.319358,4.249915,4.263804,4.45338289041192,4.794556503674979,0,0,0,,,,,,0,0,0,0,,,,1545330,2607035.05
391786200,4.249915,4.249915,4.180472,4.222138,4.407133912329535,4.742518457886344,0,0,0,,,,,,0,0,0,0,,,,1088119,2577064.45
391872600,4.222138,4.277692,4.222138,4.249915,4.375690129863628,4.697736325351222,0,0,0,,,,,,0,0,0,0,,,,1796432,2585254.5
391959000,4.249915,4.263804,4.166583,4.236026,4.347757303890902,4.655762659410202,0,0,0,,,,,,0,0,0,0,,,,1359025,2623820.35
392045400,4.236026,4.236026,4.055474,4.083252,4.294856243112722,4.603716235827457,0,0,0,,,,,,0,0,0,0,,,,1927837,2640875.7
392304600,4.013809,4.013809,3.916588,3.972143,4.230313594490178,4.54630048711587,0,0,0,,,,,,0,0,0,0,,,,1387825,2576974.45
392391000,3.944366,3.944366,3.805479,3.833257,4.150902275592142,4.481478351923518,0,0,0,,,,,,0,0,0,0,,,,1832436,2613560.25
392477400,3.833257,3.861034,3.722148,3.722148,4.065151420473714,4.412448319930471,0,0,0,,,,,,0,0,0,0,,,,3247262,2728852.45
392563800,3.722148,3.861034,3.722148,3.749925,4.002106136378971,4.352218927209519,0,0,0,,,,,,0,0,0,0,,,,2754954,2742892.75
392650200,3.777702,3.874923,3.777702,3.833257,3.9683363091031767,4.305040570190472,0,0,0,,,,,,0,0,0,0,,,,3304866,2141725.75
392909400,3.819368,3.819368,3.666593,3.666593,3.907987647282541,4.2469998819913375,0,0,0,,,,,,0,0,0,0,,,,4736792,2162921.1
392995800,3.694371,3.749925,3.694371,3.749925,3.876375117826033,4.201811256355762,0,0,0,,,,,,0,0,0,0,,,,1662331,2177996.4
393082200,3.749925,3.791591,3.694371,3.763814,3.853862894260826,4.161993323959783,0,0,0,,,,,,0,0,0,0,,,,1773032,2192261.7
393168600,3.763814,3.763814,3.638816,3.666593,3.816408915408661,4.11695693087253,0,0,0,,,,,,0,0,0,0,,,,3891674,2270698.2
