time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
-63019800,2.734375,2.734375,2.734375,2.734375,,,0,0,0,,,,,,0,0,0,0,,,,6400,
-62933400,2.695313,2.695313,2.695313,2.695313,,,0,0,0,,,,,,0,0,0,0,,,,12800,
-62847000,2.625,2.625,2.625,2.625,,,0,0,0,,,,,,0,0,0,0,,,,22400,
-62760600,2.671875,2.671875,2.671875,2.671875,,,0,0,0,,,,,,0,0,0,0,,,,19200,
-62501400,2.6875,2.6875,2.6875,2.6875,,,0,0,0,,,,,,0,0,0,0,,,,16000,
-62415000,2.75,2.75,2.75,2.75,,,0,0,0,,,,,,0,0,0,0,,,,28800,
-62328600,2.6875,2.6875,2.6875,2.6875,,,0,0,0,,,,,,0,0,0,0,,,,35200,
-62242200,2.75,2.75,2.75,2.75,,,0,0,0,,,,,,0,0,0,0,,,,22400,
-62155800,2.828125,2.828125,2.828125,2.828125,2.7144097777777776,,0,0,0,,,,,,0,0,0,0,,,,25600,
-61896600,2.84375,2.84375,2.84375,2.84375,2.740277822222222,,0,0,0,,,,,,0,0,0,0,,,,12800,
-61810200,2.828125,2.828125,2.828125,2.828125,2.7578472577777777,,0,0,0,,,,,,0,0,0,0,,,,3200,
-61723800,2.8125,2.8125,2.8125,2.8125,2.7687778062222224,,0,0,0,,,,,,0,0,0,0,,,,6400,
-61637400,2.804688,2.804688,2.804688,2.804688,2.775959844977778,,0,0,0,,,,,,0,0,0,0,,,,16000,
-61551000,2.78125,2.78125,2.78125,2.78125,2.777017875982222,,0,0,0,,,,,,0,0,0,0,,,,6400,
-61291800,2.753906,2.753906,2.753906,2.753906,2.7723955007857777,,0,0,0,,,,,,0,0,0,0,,,,6400,
-61205400,2.722656,2.722656,2.722656,2.722656,2.7624476006286223,,0,0,0,,,,,,0,0,0,0,,,,6400,
-61119000,2.703125,2.703125,2.703125,2.703125,2.750583080502898,,0,0,0,,,,,,0,0,0,0,,,,3200,
-61032600,2.703125,2.703125,2.703125,2.703125,2.7410914644023183,,0,0,0,,,,,,0,0,0,0,,,,3200,
-60946200,2.71875,2.71875,2.71875,2.71875,2.7366231715218547,,0,0,0,,,,,,0,0,0,0,,,,16000,
-60687000,2.703125,2.703125,2.703125,2.703125,2.7299235372174837,,0,0,0,,,,,,0,0,0,0,,,,3200,13600
-60514200,2.726563,2.726563,2.726563,2.726563,2.729251429773987,2.739583380952381,0,0,0,,,,,,0,0,0,0,,,,16000,14080
-60427800,2.75,2.75,2.75,2.75,2.7334011438191896,2.7405303463203463,0,0,0,,,,,,0,0,0,0,,,,28800,14880
-60341400,2.78125,2.78125,2.78125,2.78125,2.7429709150553516,2.7442321330184964,0,0,0,,,,,,0,0,0,0,,,,9600,14240
-60082200,2.8125,2.8125,2.8125,2.8125,2.7568767320442813,2.7504383027440875,0,0,0,,,,,,0,0,0,0,,,,48000,15680
-59995800,2.890625,2.890625,2.890625,2.890625,2.783626385635425,2.7631825479491705,0,0,0,,,,,,0,0,0,0,,,,25600,16160
-59909400,2.90625,2.90625,2.90625,2.90625,2.8081511085083397,2.7761886799537914,0,0,0,,,,,,0,0,0,0,,,,25600,16000
-59823000,2.828125,2.828125,2.828125,2.828125,2.8121458868066718,2.780910163594356,0,0,0,,,,,,0,0,0,0,,,,44800,16480
-59736600,2.78125,2.78125,2.78125,2.78125,2.8059667094453373,2.7809410578130507,0,0,0,,,,,,0,0,0,0,,,,44800,17600
-59391000,2.6875,2.6875,2.6875,2.6875,2.78227336755627,2.7724464161936826,0,0,0,,,,,,0,0,0,0,,,,48000,18720
-59304600,2.6875,2.6875,2.6875,2.6875,2.763318694045016,2.7647240147215295,0,0,0,,,,,,0,0,0,0,,,,16000,18880
-59218200,2.75,2.75,2.75,2.75,2.7606549552360127,2.7633854679286634,0,0,0,,,,,,0,0,0,0,,,,16000,19520
-59131800,2.734375,2.734375,2.734375,2.734375,2.75539896418881,2.7607481526624214,0,0,0,,,,,,0,0,0,0,,,,16000,20000
-58872600,2.8125,2.8125,2.8125,2.8125,2.766819171351048,2.7654528660567466,0,0,0,,,,,,0,0,0,0,,,,38400,21120
-58786200,2.921875,2.921875,2.921875,2.921875,2.797830337080838,2.779673060051588,0,0,0,,,,,,0,0,0,0,,,,35200,22560
-58699800,2.96875,2.96875,2.96875,2.96875,2.8320142696646706,2.796861872774171,0,0,0,,,,,,0,0,0,0,,,,86400,26560
-58527000,3.015625,3.015625,3.015625,3.015625,2.8687364157317363,2.816749429794701,0,0,0,,,,,,0,0,0,0,,,,38400,28160
-58267800,2.96875,2.96875,2.96875,2.96875,2.888739132585389,2.830567663449728,0,0,0,,,,,,0,0,0,0,,,,48000,30400
-58181400,2.96875,2.96875,2.96875,2.96875,2.904741306068311,2.8431296940452073,0,0,0,,,,,,0,0,0,0,,,,25600,31520
-58095000,2.949219,2.949219,2.949219,2.949219,2.913636844854649,2.852774176404734,0,0,0,,,,,,0,0,0,0,,,,19200,31680
-58008600,2.917969,2.917969,2.917969,2.917969,2.914503275883719,2.8587009785497584,0,0,0,,,,,,0,0,0,0,,,,12800,32160
-57922200,2.78125,2.78125,2.78125,2.78125,2.8878526207069752,2.85165998049978,0,0,0,,,,,,0,0,0,0,,,,73600,35040
-57663000,2.71875,2.71875,2.71875,2.71875,2.85403209656558,2.8395772549998,0,0,0,,,,,,0,0,0,0,,,,19200,34560
-57576600,2.664063,2.664063,2.664063,2.664063,2.816038277252464,2.823621413636182,0,0,0,,,,,,0,0,0,0,,,,19200,35040
-57490200,2.6875,2.6875,2.6875,2.6875,2.7903306218019712,2.811246739669256,0,0,0,,,,,,0,0,0,0,,,,22400,33760
-57403800,2.765625,2.765625,2.765625,2.765625,2.785389497441577,2.807099308790233,0,0,0,,,,,,0,0,0,0,,,,22400,33600
-57317400,2.734375,2.734375,2.734375,2.734375,2.7751865979532617,2.8004880079911207,0,0,0,,,,,,0,0,0,0,,,,6400,32640
-57058200,2.800781,2.800781,2.800781,2.800781,2.7803054783626093,2.8005146436282917,0,0,0,,,,,,0,0,0,0,,,,35200,32160
-56971800,2.796875,2.796875,2.796875,2.796875,2.7836193826900875,2.800183766934811,0,0,0,,,,,,0,0,0,0,,,,12800,30560
-56885400,2.789063,2.789063,2.789063,2.789063,2.78470810615207,2.799172788122555,0,0,0,,,,,,0,0,0,0,,,,22400,29280
-56799000,2.796875,2.796875,2.796875,2.796875,2.787141484921656,2.798963898293232,0,0,0,,,,,,0,0,0,0,,,,6400,28800
-56712600,2.796875,2.796875,2.796875,2.796875,2.789088187937325,2.7987739984483926,0,0,0,,,,,,0,0,0,0,,,,6400,28320
-56453400,2.78125,2.78125,2.78125,2.78125,2.7875205503498597,2.797180907680357,0,0,0,,,,,,0,0,0,0,,,,3200,27680
-56367000,2.773438,2.773438,2.773438,2.773438,2.784704040279888,2.7950224615275974,0,0,0,,,,,,0,0,0,0,,,,6400,26080
-56280600,2.773438,2.773438,2.773438,2.773438,2.7824508322239105,2.7930602377523615,0,0,0,,,,,,0,0,0,0,,,,6400,24640
-56194200,2.8125,2.8125,2.8125,2.8125,2.7884606657791284,2.794827488865783,0,0,0,,,,,,0,0,0,0,,,,48000,22720
-56107800,2.796875,2.796875,2.796875,2.796875,2.790143532623303,2.795013626241621,0,0,0,,,,,,0,0,0,0,,,,12800,21440
-55848600,2.773438,2.773438,2.773438,2.773438,2.7868024260986424,2.793052205674201,0,0,0,,,,,,0,0,0,0,,,,6400,19360
