time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1564666200,25.5,26.37,23.65,23.85,,,0,0,0,,,,,,0,0,0,0,,,,29037103,
1564752600,23.18,26.94,22.96,26.07,,,0,0,0,,,,,,0,0,0,0,,,,2785197,
1565011800,25.2,25.29,22.32,23.74,,,0,0,0,,,,,,0,0,0,0,,,,2628529,
1565098200,24.06,24.9,23.2,24.52,,,0,0,0,,,,,,0,0,0,0,,,,1614922,
1565184600,23.75,26.62,23.5,26.15,,,0,0,0,,,,,,0,0,0,0,,,,5085375,
1565271000,26.9,27.48,24.1,26,,,0,0,0,,,,,,0,0,0,0,,,,2222675,
1565357400,26.5,26.5,24.4669,25.25,,,0,0,0,,,,,,0,0,0,0,,,,992956,
1565616600,25.3,25.3,23,23.27,,,0,0,0,,,,,,0,0,0,0,,,,1525454,
1565703000,23.28,24.55,23.11,23.6,24.716666666666665,,0,0,0,,,,,,0,0,0,0,,,,1037773,
1565789400,23.03,23.315,21.22,21.43,24.05933333333333,,0,0,0,,,,,,0,0,0,0,,,,1976932,
1565875800,21.61,22.3595,20.4601,21.33,23.513466666666666,,0,0,0,,,,,,0,0,0,0,,,,1218480,
1565962200,21.59,22.64,21.4,22.39,23.28877333333333,,0,0,0,,,,,,0,0,0,0,,,,1146371,
1566221400,22.64,24.46,22.64,23.97,23.425018666666666,,0,0,0,,,,,,0,0,0,0,,,,706775,
1566307800,24.01,24.76,23.79,24.48,23.636014933333332,,0,0,0,,,,,,0,0,0,0,,,,439632,
1566394200,24.6,25.48,24.56,25.04,23.916811946666666,,0,0,0,,,,,,0,0,0,0,,,,562929,
1566480600,25.09,25.35,23.81,24.18,23.969449557333334,,0,0,0,,,,,,0,0,0,0,,,,546282,
1566567000,24.04,24.31,23.5313,23.9,23.955559645866668,,0,0,0,,,,,,0,0,0,0,,,,297173,
1566826200,24.27,24.5,23.78,23.87,23.938447716693336,,0,0,0,,,,,,0,0,0,0,,,,601986,
1566912600,24,24.9,22.68,23.4,23.830758173354667,,0,0,0,,,,,,0,0,0,0,,,,764297,
1566999000,23.31,24,22.6,23.01,23.666606538683734,,0,0,0,,,,,,0,0,0,0,,,,470519,2783068
1567085400,23.17,23.49,22.52,23.44,23.621285230946988,23.947142857142858,0,0,0,,,,,,0,0,0,0,,,,442739,1353349.8
1567171800,23.54,23.75,22.27,22.98,23.49302818475759,23.85922077922078,0,0,0,,,,,,0,0,0,0,,,,1191595,1273669.7
1567517400,22.5,23.28,22.3,23.1,23.414422547806073,23.790200708382528,0,0,0,,,,,,0,0,0,0,,,,1439032,1214194.85
1567603800,23.47,24.1995,23.09,23.98,23.52753803824486,23.807455189438663,0,0,0,,,,,,0,0,0,0,,,,1146257,1190761.6
1567690200,22.31,24.96,21.67,24.73,23.76803043059589,23.891322899489694,0,0,0,,,,,,0,0,0,0,,,,1852738,1029129.75
1567776600,25.26,25.3,23.58,23.8,23.77442434447671,23.883020817717902,0,0,0,,,,,,0,0,0,0,,,,843416,960166.8
1568035800,23.93,23.9484,19.71,21.51,23.321539475581368,23.66729165247082,0,0,0,,,,,,0,0,0,0,,,,2368221,1028930.05
1568122200,21.32,21.75,19.82,20.11,22.679231580465093,23.3439015022462,0,0,0,,,,,,0,0,0,0,,,,1243311,1014822.9
1568208600,20.48,20.98,19.76,20.91,22.325385264372073,23.12263772931473,0,0,0,,,,,,0,0,0,0,,,,549181,990393.3
1568295000,21,21.83,20.522,21.25,22.11030821149766,22.952397935740663,0,0,0,,,,,,0,0,0,0,,,,728729,927983.15
1568381400,21.57,21.57,20.78,21.02,21.89224656919813,22.776725396127876,0,0,0,,,,,,0,0,0,0,,,,822711,908194.7
1568640600,20.82,20.82,19.88,20.04,21.521797255358504,22.52793217829807,0,0,0,,,,,,0,0,0,0,,,,1764214,939086.85
1568727000,20.31,20.6252,20.05,20.13,21.243437804286803,22.309938343907337,0,0,0,,,,,,0,0,0,0,,,,778997,942697.95
