time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1627479000,141.4,145,130,139.01,,,0,0,0,,,,,,0,0,0,0,,,,2887918,
1627565400,137,139,132,134.44,,,0,0,0,,,,,,0,0,0,0,,,,693999,
1627651800,135.18,141.4,128.5,140.25,,,0,0,0,,,,,,0,0,0,0,,,,617792,
1627911000,140,147.25,134.72,143.8,,,0,0,0,,,,,,0,0,0,0,,,,586661,
1627997400,143.16,146.99,138.01,139.86,,,0,0,0,,,,,,0,0,0,0,,,,740097,
1628083800,136.47,142.345,135.9,141.5,,,0,0,0,,,,,,0,0,0,0,,,,475890,
1628170200,139.01,152.84,137.01,146,,,0,0,0,,,,,,0,0,0,0,,,,724944,
1628256600,140.1,141.86,132.4,134.38,,,0,0,0,,,,,,0,0,0,0,,,,425188,
1628515800,135,138.53,135,138.25,139.7211111111111,,0,0,0,,,,,,0,0,0,0,,,,353739,
1628602200,138.6,141.5,138.6,140,139.7768888888889,,0,0,0,,,,,,0,0,0,0,,,,233674,
1628688600,140.5,142.97,135.4,135.96,139.01351111111111,,0,0,0,,,,,,0,0,0,0,,,,324805,
1628775000,135.5,137.21,130.16,133.8,137.97080888888888,,0,0,0,,,,,,0,0,0,0,,,,365432,
1628861400,134,137.7894,131.74,136.63,137.7026471111111,,0,0,0,,,,,,0,0,0,0,,,,156208,
1629120600,137.11,137.99,133.365,135,137.16211768888888,,0,0,0,,,,,,0,0,0,0,,,,171438,
1629207000,135.39,136.13,132.2,133.48,136.42569415111112,,0,0,0,,,,,,0,0,0,0,,,,245279,
1629293400,133.4,133.97,129.14,131.5,135.4405553208889,,0,0,0,,,,,,0,0,0,0,,,,341757,
1629379800,130.78,131,125.1,126.16,133.58444425671112,,0,0,0,,,,,,0,0,0,0,,,,303141,
1629466200,126.5,127.4,125.01,126.03,132.0735554053689,,0,0,0,,,,,,0,0,0,0,,,,132046,
1629725400,125.26,126,123,124.01,130.46084432429512,,0,0,0,,,,,,0,0,0,0,,,,151922,
1629811800,123.69,130.62,123.69,127.16,129.8006754594361,,0,0,0,,,,,,0,0,0,0,,,,226091,507901.05
1629898200,127.28,130.58,126.29,127.33,129.30654036754888,134.97857142857143,0,0,0,,,,,,0,0,0,0,,,,113375,369173.9
1629984600,127.43,128,119.68,120,127.4452322940391,133.61688311688312,0,0,0,,,,,,0,0,0,0,,,,250818,347014.85
1630071000,119.8,120.775,118.545,120.1,125.97618583523128,132.38807556080283,0,0,0,,,,,,0,0,0,0,,,,188407,325545.6
1630330200,121.04,128.8,119.4,128.7,126.52094866818501,132.0527959643662,0,0,0,,,,,,0,0,0,0,,,,221748,307299.95
1630416600,127.16,130.81,125.4,129.56,127.12875893454802,131.8261781494238,0,0,0,,,,,,0,0,0,0,,,,209065,280748.35
1630503000,130,137.72,128.94,137.48,129.1990071476384,132.34016195402165,0,0,0,,,,,,0,0,0,0,,,,139226,263915.15
1630589400,138.17,152.77,136.6005,152.09,133.77720571811074,134.1356017763833,0,0,0,,,,,,0,0,0,0,,,,400190,247677.45
1630675800,149,163.84,146.561,163.06,139.6337645744886,136.76509252398483,0,0,0,,,,,,0,0,0,0,,,,316140,242225.05
1631021400,164.83,164.83,158.02,163.38,144.38301165959086,139.18462956725895,0,0,0,,,,,,0,0,0,0,,,,226251,235850.65
1631107800,163.38,163.58,153.66,158.11,147.1284093276727,140.90511778841724,0,0,0,,,,,,0,0,0,0,,,,230643,235699.1
1631194200,156.73,170.58,155.015,169.75,151.65272746213816,143.52737980765204,0,0,0,,,,,,0,0,0,0,,,,205939,229755.8
1631280600,171.97,181.27,170.49,173.37,155.99618196971053,146.24034527968368,0,0,0,,,,,,0,0,0,0,,,,332463,228107.35
1631539800,174.45,174.655,158.22,158.71,156.53894557576842,147.3739502542579,0,0,0,,,,,,0,0,0,0,,,,279674,234280.65
1631626200,159,166.46,159,160.09,157.24915646061473,148.5299547765981,0,0,0,,,,,,0,0,0,0,,,,310362,241226.85
1631712600,161.33,164.16,158.6,160.29,157.85732516849177,149.59904979690737,0,0,0,,,,,,0,0,0,0,,,,303654,244145.6
1631799000,158.57,185.85,158,185,163.2858601347934,152.81731799718852,0,0,0,,,,,,0,0,0,0,,,,437427,248929.1
1631885400,185.2,191.5,183.05,184.98,167.62468810783471,155.74119817926228,0,0,0,,,,,,0,0,0,0,,,,697706,268657.35
1632144600,178,183.5,174.6,181.7,170.43975048626777,158.1010892538748,0,0,0,,,,,,0,0,0,0,,,,410162,282563.15
1632231000,183.79,202.04,181.9,200.21,176.39380038901422,161.92917204897708,0,0,0,,,,,,0,0,0,0,,,,340875,292010.8
1632317400,201.65,204.995,200.25,201.86,181.4870403112114,165.5592473172519,0,0,0,,,,,,0,0,0,0,,,,301716,295792.05
1632403800,202.21,203.617,198.12,202.69,185.72763224896912,168.93477028841082,0,0,0,,,,,,0,0,0,0,,,,102941,295270.35
1632490200,202.23,204.3611,198.51,199.37,188.4561057991753,171.70160935310074,0,0,0,,,,,,0,0,0,0,,,,104275,287943.2
1632749400,199.99,201.94,188.11,189.38,188.64088463934024,173.30873577554613,0,0,0,,,,,,0,0,0,0,,,,115101,284277.9
1632835800,184.24,186.84,171.46,171.73,185.2587077114722,173.16521434140557,0,0,0,,,,,,0,0,0,0,,,,178279,282104.45
1632922200,176.44,176.44,167.24,168.89,181.98496616917777,172.7765584921869,0,0,0,,,,,,0,0,0,0,,,,127901,278046.25
1633008600,167.23,171.606,162.54,166.36,178.85997293534223,172.19323499289717,0,0,0,,,,,,0,0,0,0,,,,105221,276346
1633095000,167.01,171.45,158.4,160.58,175.20397834827378,171.13748635717926,0,0,0,,,,,,0,0,0,0,,,,176385,265155.75
1633354200,159.01,159.1574,147.11,150.87,170.33718267861903,169.2949875974357,0,0,0,,,,,,0,0,0,0,,,,205684,259632.95
1633440600,152.3,156.019,142.51,144.85,165.23974614289523,167.0727159976688,0,0,0,,,,,,0,0,0,0,,,,200593,258350.05
1633527000,144.47,144.47,136.07,141.45,160.4817969143162,164.7433781796989,0,0,0,,,,,,0,0,0,0,,,,421849,267910.35
1633613400,143.97,160.86,143.97,156.86,159.75743753145295,164.0267074360899,0,0,0,,,,,,0,0,0,0,,,,270932,271160
1633699800,157.34,168.6,157.34,166.52,161.10995002516236,164.25337039644538,0,0,0,,,,,,0,0,0,0,,,,276174,268345.55
1633959000,168.73,169.8,162.18,165,161.8879600201299,164.32124581495034,0,0,0,,,,,,0,0,0,0,,,,211437,264933.7
1634045400,166.31,170.74,162.36,170.74,163.6583680161039,164.90476892268214,0,0,0,,,,,,0,0,0,0,,,,222452,260538.2
1634131800,172.05,181.79,171.68,180,166.92669441288314,166.27706265698376,0,0,0,,,,,,0,0,0,0,,,,134058,252058.4
1634218200,182.71,186.77,167.68,168.59,167.25935553030652,166.48732968816705,0,0,0,,,,,,0,0,0,0,,,,144364,237405.25
1634304600,169.27,173.86,154.34,156.7,165.14748442424522,165.59757244378824,0,0,0,,,,,,0,0,0,0,,,,136402,209340.05
