time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1525959000,19.75,20.5,19.5,20.34,,,0,0,0,,,,,,0,0,0,0,,,,32487624,
1526045400,20.4,21.5,20.39,21.39,,,0,0,0,,,,,,0,0,0,0,,,,11193415,
1526304600,21.52,21.69,21.25,21.5,,,0,0,0,,,,,,0,0,0,0,,,,3064662,
1526391000,21.39,21.67,21.2201,21.6,,,0,0,0,,,,,,0,0,0,0,,,,4338989,
1526477400,21.5,21.75,21.301,21.6,,,0,0,0,,,,,,0,0,0,0,,,,14211001,
1526563800,21.6,21.89,21.32,21.68,,,0,0,0,,,,,,0,0,0,0,,,,3960796,
1526650200,21.67,21.8,21.5,21.58,,,0,0,0,,,,,,0,0,0,0,,,,1774991,
1526909400,21.61,21.92,21.5,21.86,,,0,0,0,,,,,,0,0,0,0,,,,2321792,
1526995800,21.9,22,21.7,21.85,21.48888888888889,,0,0,0,,,,,,0,0,0,0,,,,2382340,
1527082200,21.77,21.91,21.39,21.72,21.535111111111114,,0,0,0,,,,,,0,0,0,0,,,,4198694,
1527168600,21.78,21.99,21.39,21.78,21.584088888888893,,0,0,0,,,,,,0,0,0,0,,,,3575964,
1527255000,21.84,21.97,21.68,21.95,21.657271111111115,,0,0,0,,,,,,0,0,0,0,,,,1285265,
1527600600,21.82,21.88,20.51,20.74,21.47381688888889,,0,0,0,,,,,,0,0,0,0,,,,4339630,
1527687000,21.35,21.535,20.75,21.44,21.467053511111114,,0,0,0,,,,,,0,0,0,0,,,,4279337,
1527773400,21.33,21.49,20.95,21.36,21.44564280888889,,0,0,0,,,,,,0,0,0,0,,,,2681880,
1527859800,21.5,21.75,21.11,21.54,21.46451424711111,,0,0,0,,,,,,0,0,0,0,,,,3026086,
1528119000,21.81,22.25,21.6,21.68,21.50761139768889,,0,0,0,,,,,,0,0,0,0,,,,3616445,
1528205400,21.68,21.74,21.22,21.48,21.502089118151112,,0,0,0,,,,,,0,0,0,0,,,,5102017,
1528291800,21.58,21.81,21.25,21.38,21.47767129452089,,0,0,0,,,,,,0,0,0,0,,,,2174255,
1528378200,21.4,21.52,21.01,21.26,21.43413703561671,,0,0,0,,,,,,0,0,0,0,,,,2150172,5608267.75
1528464600,21.2,21.5,21.03,21.06,21.359309628493367,21.466190476190476,0,0,0,,,,,,0,0,0,0,,,,2189235,4093348.3
1528723800,21.11,21.75,21.01,21.34,21.355447702794695,21.454718614718615,0,0,0,,,,,,0,0,0,0,,,,2892171,3678286.1
1528810200,21.35,21.5,21.16,21.38,21.360358162235755,21.44792601338056,0,0,0,,,,,,0,0,0,0,,,,2399909,3645048.45
1528896600,21.37,21.8,21.305,21.63,21.414286529788605,21.464478193982327,0,0,0,,,,,,0,0,0,0,,,,3452343,3600716.15
1528983000,21.6,21.79,21.13,21.2,21.371429223830884,21.440434721802117,0,0,0,,,,,,0,0,0,0,,,,3660452,3073188.7
1529069400,21.15,21.58,20.75,21.12,21.321143379064708,21.411304292547378,0,0,0,,,,,,0,0,0,0,,,,8032703,3276784.05
