time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
-43065000,2.353968,2.353968,2.353968,2.353968,,,0,0,0,,,,,,0,0,0,0,,,,21251,
-42892200,2.362199,2.362199,2.362199,2.362199,,,0,0,0,,,,,,0,0,0,0,,,,7583,
-42805800,2.304584,2.304584,2.304584,2.304584,,,0,0,0,,,,,,0,0,0,0,,,,39476,
-42546600,2.288123,2.288123,2.288123,2.288123,,,0,0,0,,,,,,0,0,0,0,,,,1508,
-42460200,2.271662,2.271662,2.271662,2.271662,,,0,0,0,,,,,,0,0,0,0,,,,3026,
-42287400,2.271662,2.271662,2.271662,2.271662,,,0,0,0,,,,,,0,0,0,0,,,,6064,
-42201000,2.238739,2.238739,2.238739,2.238739,,,0,0,0,,,,,,0,0,0,0,,,,4546,
-41769000,2.238739,2.238739,2.238739,2.238739,,,0,0,0,,,,,,0,0,0,0,,,,1508,
-41682600,2.2552,2.2552,2.2552,2.2552,2.2872084444444445,,0,0,0,,,,,,0,0,0,0,,,,1508,
-41596200,2.238739,2.238739,2.238739,2.238739,2.2775145555555554,,0,0,0,,,,,,0,0,0,0,,,,28846,
-41337000,2.222278,2.222278,2.222278,2.222278,2.2664672444444443,,0,0,0,,,,,,0,0,0,0,,,,6064,
-41250600,2.238739,2.238739,2.238739,2.238739,2.2609215955555553,,0,0,0,,,,,,0,0,0,0,,,,7583,
-41077800,2.214047,2.214047,2.214047,2.214047,2.2515466764444443,,0,0,0,,,,,,0,0,0,0,,,,4546,
-40991400,2.205816,2.205816,2.205816,2.205816,2.2424005411555554,,0,0,0,,,,,,0,0,0,0,,,,6064,
-40732200,2.189355,2.189355,2.189355,2.189355,2.231791432924444,,0,0,0,,,,,,0,0,0,0,,,,1508,
-40645800,2.214047,2.214047,2.214047,2.214047,2.228242546339555,,0,0,0,,,,,,0,0,0,0,,,,1508,
-40473000,2.205816,2.205816,2.205816,2.205816,2.223757237071644,,0,0,0,,,,,,0,0,0,0,,,,10621,
-40386600,2.205816,2.205816,2.205816,2.205816,2.2201689896573154,,0,0,0,,,,,,0,0,0,0,,,,3026,
-40127400,2.230508,2.230508,2.230508,2.230508,2.222236791725852,,0,0,0,,,,,,0,0,0,0,,,,33401,
-40041000,2.230508,2.230508,2.230508,2.230508,2.223891033380682,,0,0,0,,,,,,0,0,0,0,,,,7583,9861
-39868200,2.2552,2.2552,2.2552,2.2552,2.2301528267045456,2.2493211904761905,0,0,0,,,,,,0,0,0,0,,,,3026,8949.75
-39522600,2.263431,2.263431,2.263431,2.263431,2.2368084613636365,2.2506039004329006,0,0,0,,,,,,0,0,0,0,,,,3026,8721.9
-39436200,2.2552,2.2552,2.2552,2.2552,2.2404867690909094,2.251021727666273,0,0,0,,,,,,0,0,0,0,,,,3026,6899.4
-39263400,2.271662,2.271662,2.271662,2.271662,2.2467218152727275,2.252898116060248,0,0,0,,,,,,0,0,0,0,,,,6064,7127.2
-39177000,2.312815,2.312815,2.312815,2.312815,2.259940452218182,2.2583451055093167,0,0,0,,,,,,0,0,0,0,,,,6064,7279.1
-38917800,2.353968,2.353968,2.353968,2.353968,2.2787459617745456,2.2670380959175604,0,0,0,,,,,,0,0,0,0,,,,6064,7279.1
-38831400,2.321046,2.321046,2.321046,2.321046,2.2872059694196363,2.2719479053796006,0,0,0,,,,,,0,0,0,0,,,,4546,7279.1
-38658600,2.288123,2.288123,2.288123,2.288123,2.287389375535709,2.27341836852691,0,0,0,,,,,,0,0,0,0,,,,28846,8646
-38572200,2.271662,2.271662,2.271662,2.271662,2.2842439004285673,2.273258698660827,0,0,0,,,,,,0,0,0,0,,,,1508,8646
-38226600,2.24697,2.24697,2.24697,2.24697,2.276789120342854,2.2708688169643882,0,0,0,,,,,,0,0,0,0,,,,1508,7279.1
-38053800,2.279892,2.279892,2.279892,2.279892,2.277409696274283,2.271689106331262,0,0,0,,,,,,0,0,0,0,,,,3026,7127.2
-37967400,2.304584,2.304584,2.304584,2.304584,2.2828445570194265,2.2746795512102382,0,0,0,,,,,,0,0,0,0,,,,13658,7430.95
-37708200,2.296354,2.296354,2.296354,2.296354,2.285546445615541,2.276649955645671,0,0,0,,,,,,0,0,0,0,,,,7583,7582.8
-37621800,2.238739,2.238739,2.238739,2.238739,2.2761849564924326,2.273203505132428,0,0,0,,,,,,0,0,0,0,,,,7583,7658.75
-37449000,2.288123,2.288123,2.288123,2.288123,2.278572565193946,2.274559822847662,0,0,0,,,,,,0,0,0,0,,,,15176,8342.15
-37362600,2.304584,2.304584,2.304584,2.304584,2.283774852155157,2.2772892934978746,0,0,0,,,,,,0,0,0,0,,,,153381,15935.8
-37099800,2.288123,2.288123,2.288123,2.288123,2.2846444817241256,2.2782741759071587,0,0,0,,,,,,0,0,0,0,,,,1508,15480.15
-37013400,2.296354,2.296354,2.296354,2.296354,2.2869863853793007,2.279917796279235,0,0,0,,,,,,0,0,0,0,,,,1508,15404.25
-36840600,2.321046,2.321046,2.321046,2.321046,2.2937983083034403,2.2836567238902137,0,0,0,,,,,,0,0,0,0,,,,18214,14644.9
-36754200,2.304584,2.304584,2.304584,2.304584,2.2959554466427523,2.285559203536558,0,0,0,,,,,,0,0,0,0,,,,121488,20340.15
-36495000,2.329276,2.329276,2.329276,2.329276,2.302619557314202,2.2895334577605073,0,0,0,,,,,,0,0,0,0,,,,9101,20643.9
-36322200,2.345738,2.345738,2.345738,2.345738,2.3112432458513616,2.294642961600461,0,0,0,,,,,,0,0,0,0,,,,12139,21099.55
-36235800,2.37043,2.37043,2.37043,2.37043,2.3230805966810895,2.3015326923640553,0,0,0,,,,,,0,0,0,0,,,,9101,21403.3
-36149400,2.403352,2.403352,2.403352,2.403352,2.3391348773448715,2.310788993058232,0,0,0,,,,,,0,0,0,0,,,,7583,21479.25
-35803800,2.436275,2.436275,2.436275,2.436275,2.358562901875897,2.32219681187112,0,0,0,,,,,,0,0,0,0,,,,4546,21403.35
-35717400,2.460967,2.460967,2.460967,2.460967,2.3790437215007176,2.3348122835192,0,0,0,,,,,,0,0,0,0,,,,3026,21251.45
-35631000,2.526812,2.526812,2.526812,2.526812,2.408597377200574,2.3522668031992726,0,0,0,,,,,,0,0,0,0,,,,16696,21858.95
-35544600,2.49389,2.49389,2.49389,2.49389,2.4256559017604595,2.365141639272066,0,0,0,,,,,,0,0,0,0,,,,9101,20871.7
-35285400,2.485659,2.485659,2.485659,2.485659,2.4376565214083676,2.3760977629746054,0,0,0,,,,,,0,0,0,0,,,,3026,20947.6
-35026200,2.50212,2.50212,2.50212,2.50212,2.450549217126694,2.387554329976914,0,0,0,,,,,,0,0,0,0,,,,12139,21479.15
