time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1627565400,38,40.25,33.35,34.82,,,0,0,0,,,,,,0,0,0,0,,,,102474737,
1627651800,34.93,36.9795,33.25,35.15,,,0,0,0,,,,,,0,0,0,0,,,,40632228,
1627911000,35.97,37.98,35.3,37.68,,,0,0,0,,,,,,0,0,0,0,,,,19948534,
1627997400,37.911,48.59,37.1594,46.8,,,0,0,0,,,,,,0,0,0,0,,,,93819198,
1628083800,54.45,85,54.4,70.39,,,0,0,0,,,,,,0,0,0,0,,,,175790537,
1628170200,62.9,66.5,50.46,50.97,,,0,0,0,,,,,,0,0,0,0,,,,82470402,
1628256600,57.77,60.88,53.1,55.01,,,0,0,0,,,,,,0,0,0,0,,,,70131720,
1628515800,59.0835,59.96,56,56.83,,,0,0,0,,,,,,0,0,0,0,,,,27495240,
1628602200,56.4852,58.49,53.5,53.94,49.065555555555555,,0,0,0,,,,,,0,0,0,0,,,,17066352,
1628688600,54.5683,54.6058,49,51.19,49.49044444444444,,0,0,0,,,,,,0,0,0,0,,,,15893137,
1628775000,50.125,50.39,47.52,48.1,49.212355555555554,,0,0,0,,,,,,0,0,0,0,,,,13426242,
1628861400,48.45,53.2,48.22,50.63,49.49588444444444,,0,0,0,,,,,,0,0,0,0,,,,25659808,
1629120600,49.4,49.79,47,47.19,49.034707555555556,,0,0,0,,,,,,0,0,0,0,,,,12052503,
1629207000,47.3,48.85,46.01,46.67,48.56176604444445,,0,0,0,,,,,,0,0,0,0,,,,9160299,
1629293400,47.9651,52.06,47.2,49.8,48.809412835555555,,0,0,0,,,,,,0,0,0,0,,,,24407995,
1629379800,45.06,46.88,44.135,44.69,47.98553026844444,,0,0,0,,,,,,0,0,0,0,,,,18517574,
1629466200,45.2,45.56,42.44,42.64,46.91642421475555,,0,0,0,,,,,,0,0,0,0,,,,11764299,
1629725400,44.16,46.85,43.32,45.29,46.59113937180444,,0,0,0,,,,,,0,0,0,0,,,,15664716,
1629811800,46.46,50.24,46,49.38,47.14891149744355,,0,0,0,,,,,,0,0,0,0,,,,17122747,
1629898200,48.425,50.99,47.5,48.98,47.51512919795484,,0,0,0,,,,,,0,0,0,0,,,,10837516,40216789.2
