time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1607697000,10.25,10.9,10,10.15,,,0,0,0,,,,,,0,0,0,0,,,,119447,
1607956200,10.59,10.59,10.15,10.16,,,0,0,0,,,,,,0,0,0,0,,,,368698,
1608042600,10.25,10.3,10.07,10.11,,,0,0,0,,,,,,0,0,0,0,,,,193825,
1608129000,10.16,10.25,10.1,10.14,,,0,0,0,,,,,,0,0,0,0,,,,355044,
1608215400,10.16,10.28,10.16,10.2,,,0,0,0,,,,,,0,0,0,0,,,,115487,
1608301800,10.34,10.41,10.2,10.23,,,0,0,0,,,,,,0,0,0,0,,,,91983,
1608561000,10.29,10.4,10.25,10.3,,,0,0,0,,,,,,0,0,0,0,,,,174623,
1608647400,10.5,10.5999,10.27,10.32,,,0,0,0,,,,,,0,0,0,0,,,,141428,
1608733800,10.44,10.515,10.3,10.37,10.22,,0,0,0,,,,,,0,0,0,0,,,,228227,
1608820200,10.5,10.6051,10.4,10.5,10.276,,0,0,0,,,,,,0,0,0,0,,,,225962,
1609165800,10.85,11.07,10.45,10.6,10.3408,,0,0,0,,,,,,0,0,0,0,,,,663270,
1609252200,10.7,10.71,10.4301,10.55,10.38264,,0,0,0,,,,,,0,0,0,0,,,,472437,
1609338600,10.6,10.61,10.3,10.4,10.386112,,0,0,0,,,,,,0,0,0,0,,,,359746,
1609425000,10.43,10.5,10.31,10.41,10.390889600000001,,0,0,0,,,,,,0,0,0,0,,,,178276,
1609770600,10.45,10.59,10.37,10.48,10.408711680000001,,0,0,0,,,,,,0,0,0,0,,,,312470,
1609857000,10.5,10.5,10.35,10.43,10.412969344,,0,0,0,,,,,,0,0,0,0,,,,323365,
1609943400,10.4,10.4299,10.25,10.26,10.3823754752,,0,0,0,,,,,,0,0,0,0,,,,239649,
1610029800,10.26,10.38,10.26,10.36,10.37790038016,,0,0,0,,,,,,0,0,0,0,,,,199227,
1610116200,10.42,10.5301,10.33,10.4,10.382320304128,,0,0,0,,,,,,0,0,0,0,,,,264919,
1610375400,10.42,10.52,10.4,10.5,10.405856243302399,,0,0,0,,,,,,0,0,0,0,,,,218997,262354
1610461800,10.63,10.75,10.49,10.52,10.42868499464192,10.35190476190476,0,0,0,,,,,,0,0,0,0,,,,441453,278454.3
1610548200,10.68,10.72,10.62,10.7,10.482947995713536,10.383549783549782,0,0,0,,,,,,0,0,0,0,,,,339565,276997.65
1610634600,10.85,10.99,10.76,10.87,10.560358396570829,10.427772530499801,0,0,0,,,,,,0,0,0,0,,,,689011,301756.95
1610721000,11.02,11.04,10.66,10.73,10.594286717256663,10.455247754999819,0,0,0,,,,,,0,0,0,0,,,,430151,305512.3
