time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1351863000,32.05,33.14999,30.32001,31.10001,,,0,0,0,,,,,,0,0,0,0,,,,6838207,
1352125800,31.19,33.34,30.86,33.3,,,0,0,0,,,,,,0,0,0,0,,,,570379,
1352212200,33.39999,33.89999,32.2,33.3,,,0,0,0,,,,,,0,0,0,0,,,,462084,
1352298600,32.55,33.08,32.03,32.45,,,0,0,0,,,,,,0,0,0,0,,,,111658,
1352385000,32.03,33.50999,32,33.08,,,0,0,0,,,,,,0,0,0,0,,,,200172,
1352471400,32.52,32.52,31.5,32.13,,,0,0,0,,,,,,0,0,0,0,,,,335652,
1352730600,32.13,32.64999,31.64,32.235,,,0,0,0,,,,,,0,0,0,0,,,,237309,
1352817000,31.89999,32.5,31.73801,32.41,,,0,0,0,,,,,,0,0,0,0,,,,161711,
1352903400,32.75,33.8,32.55,33.39,32.599445555555555,,0,0,0,,,,,,0,0,0,0,,,,215627,
1352989800,32.7,33.96001,32.7,33.63,32.80555644444444,,0,0,0,,,,,,0,0,0,0,,,,242512,
1353076200,33.82001,35.17999,33.72009,34.45,33.134445155555554,,0,0,0,,,,,,0,0,0,0,,,,183378,
1353335400,34.8,35.28,34.32001,34.57001,33.421558124444445,,0,0,0,,,,,,0,0,0,0,,,,141694,
1353421800,34.7,35.63,34.53,35.08,33.75324649955556,,0,0,0,,,,,,0,0,0,0,,,,70261,
1353508200,35.45,35.45,34.925,35.1199,34.02657719964445,,0,0,0,,,,,,0,0,0,0,,,,61141,
1353681000,35.39999,35.55,35.28999,35.49001,34.31926375971556,,0,0,0,,,,,,0,0,0,0,,,,79948,
1353940200,35.5,38.33,35.41,37.99001,35.05341300777245,,0,0,0,,,,,,0,0,0,0,,,,469626,
1354026600,37.5,37.64,35.2966,35.78,35.19873040621796,,0,0,0,,,,,,0,0,0,0,,,,613664,
1354113000,35.75,36.92999,35.61,36.89999,35.53898232497437,,0,0,0,,,,,,0,0,0,0,,,,156381,
1354199400,37,37.14,36.5,37,35.8311858599795,,0,0,0,,,,,,0,0,0,0,,,,71593,
1354285800,37.00011,37.8136,36.69,36.89999,36.0449466879836,,0,0,0,,,,,,0,0,0,0,,,,87938,565546.75
1354545000,37.39999,37.39999,36.53,36.74001,36.18395935038688,34.430710952380956,0,0,0,,,,,,0,0,0,0,,,,117317,229502.25
1354631400,36.36,36.7,35.86,36.7,36.287167480309506,34.63700995670996,0,0,0,,,,,,0,0,0,0,,,,179029,209934.75
1354717800,36.3,37.2,35.77,36,36.2297339842476,34.7609181424636,0,0,0,,,,,,0,0,0,0,,,,111679,192414.5
1354804200,36.25,37,35.49001,36.72,36.32778718739808,34.93901649314873,0,0,0,,,,,,0,0,0,0,,,,223745,198018.85
1354890600,37.2,37.315,36.64999,36.74001,36.41023174991847,35.10274317558975,0,0,0,,,,,,0,0,0,0,,,,201694,198094.95
1355149800,37.16,37.47,36.32001,36.5,36.428185399934776,35.22976652326341,0,0,0,,,,,,0,0,0,0,,,,327329,197678.8
1355236200,36.7,36.92,35.82001,36.06,36.354548319947824,35.30524229387583,0,0,0,,,,,,0,0,0,0,,,,158376,193732.15
1355322600,36.44,37.02,35.72,36.69,36.42163865595826,35.43112935806894,0,0,0,,,,,,0,0,0,0,,,,314140,201353.6
1355409000,33.5,36.319,33.2,34.89999,36.11730892476661,35.38284396188085,0,0,0,,,,,,0,0,0,0,,,,1878847,284514.6
1355495400,34.5,35.74001,34.45,34.50999,35.79584513981329,35.30349360170987,0,0,0,,,,,,0,0,0,0,,,,176742,281226.1
1355754600,33.61,34.92,33.61,33.72,35.38067611185063,35.15953963791806,0,0,0,,,,,,0,0,0,0,,,,170892,280601.8
1355841000,33.86,33.95,31.72,32.7,34.844540889480506,34.93594512538005,0,0,0,,,,,,0,0,0,0,,,,647028,305868.5
1355927400,31.56,33.24001,31.56,32.97,34.4696327115844,34.757222841254595,0,0,0,,,,,,0,0,0,0,,,,270719,315891.4
1356013800,32.86,32.95,31.67999,32,33.975706169267525,34.50656621932236,0,0,0,,,,,,0,0,0,0,,,,300594,327864.05
1356100200,31.14999,31.74001,30.92,31.49001,33.47856693541402,34.232333835747596,0,0,0,,,,,,0,0,0,0,,,,816703,364701.8
1356359400,31.59,32.88,31.36011,32.35001,33.25285554833122,34.06121348704327,0,0,0,,,,,,0,0,0,0,,,,112248,346832.9
1356532200,32.42999,32.642,32.10001,32.37,33.07628443866498,33.90746680640297,0,0,0,,,,,,0,0,0,0,,,,149415,323620.45
1356618600,32.28999,32.88,32.19,32.75999,33.013025550931985,33.80315073309361,0,0,0,,,,,,0,0,0,0,,,,107520,321177.4
1356705000,32.7,34.5,32.60001,33.89,33.18842044074559,33.81104612099419,0,0,0,,,,,,0,0,0,0,,,,229088,329052.15
1356964200,33.89,34.25999,33.5,33.73,33.29673635259647,33.8036782918129,0,0,0,,,,,,0,0,0,0,,,,102324,329771.45
1357137000,33.8,34.19991,33.14,33.23,33.28338908207717,33.75152571982991,0,0,0,,,,,,0,0,0,0,,,,207864,334298.8
1357223400,33.41,34.4899,33.23,34.39,33.50471126566174,33.809568836209,0,0,0,,,,,,0,0,0,0,,,,155373,333116
1357309800,34.36,34.88,33.67999,34.28999,33.661767012529396,33.85324348746273,0,0,0,,,,,,0,0,0,0,,,,231355,339099.8
1357569000,34.23,35.44,32.92,32.97,33.52341361002352,33.77294862496611,0,0,0,,,,,,0,0,0,0,,,,172216,336523.35
1357655400,32.85001,33.55,31.94,32.19,33.256730888018815,33.62904420451465,0,0,0,,,,,,0,0,0,0,,,,169918,334934.55
1357741800,32.07001,33.5,31.93381,33.05,33.21538471041505,33.576403822286046,0,0,0,,,,,,0,0,0,0,,,,85808,322858.5
1357828200,33.39999,33.92,32.50999,32.78,33.12830776833204,33.504003474805494,0,0,0,,,,,,0,0,0,0,,,,106824,320280.9
1357914600,32.95,33.17999,32.45,32.82001,33.06664821466563,33.441822249823176,0,0,0,,,,,,0,0,0,0,,,,79533,308550.55
1358173800,33.05,33.05,32.25,32.8,33.013318571732505,33.38347477256652,0,0,0,,,,,,0,0,0,0,,,,67690,217992.7
1358260200,32.56,33.21001,32.24001,32.55,32.920654857386005,33.30770433869684,0,0,0,,,,,,0,0,0,0,,,,82425,213276.85
1358346600,32.59,32.59,31.60001,32.3,32.796523885908805,33.21609485336076,0,0,0,,,,,,0,0,0,0,,,,81657,208815.1
1358433000,32.59,34,32.36,33.98,33.033219108727046,33.28554077578251,0,0,0,,,,,,0,0,0,0,,,,142598,183593.6
1358519400,33.78999,35.55,33.59,35.16,33.458575286981635,33.45594615980228,0,0,0,,,,,,0,0,0,0,,,,204223,180268.8
1358865000,35,36.22,35,35.73,33.912860229585306,33.66267832709298,0,0,0,,,,,,0,0,0,0,,,,50397,167758.95
1358951400,35.86,36.05,35.201,35.7,34.27028818366824,33.847889388266346,0,0,0,,,,,,0,0,0,0,,,,56550,129751.3
1359037800,35.88,36.24001,35.53011,36.23,34.662230546934595,34.06444489842395,0,0,0,,,,,,0,0,0,0,,,,28068,125542.3
1359124200,36.39999,36.7,35.77,36.08,34.94578443754767,34.24767718038541,0,0,0,,,,,,0,0,0,0,,,,57933,120968.2
1359383400,36,36.328,35.75,35.84,35.12462755003814,34.392433800350375,0,0,0,,,,,,0,0,0,0,,,,45177,117851.05
1359469800,35.87,36.75,35.761,36.09,35.31770204003051,34.546758000318526,0,0,0,,,,,,0,0,0,0,,,,76461,110219.7
1359556200,36.3,36.3,35.75,36.13,35.48016163202441,34.690689091198664,0,0,0,,,,,,0,0,0,0,,,,25009,106353.95
1359642600,36.45,36.69,35.34,36,35.58412930561953,34.80971735563515,0,0,0,,,,,,0,0,0,0,,,,69881,99454.8
1359729000,36.25,36.31,35.3302,36.23,35.71330344449562,34.938833959668315,0,0,0,,,,,,0,0,0,0,,,,77435,95557.9
1359988200,36.11,36.88,35.88,36.39,35.8486427555965,35.070758145153015,0,0,0,,,,,,0,0,0,0,,,,46010,86290.65
1360074600,36.58,39.46001,36.42999,37.50999,36.1809122044772,35.29250649559365,0,0,0,,,,,,0,0,0,0,,,,157719,85565.8
1360161000,37.42999,39.39,37.42999,38.92,36.72872976358176,35.62227863235786,0,0,0,,,,,,0,0,0,0,,,,76962,80918
1360247400,39,39.17,38.5601,38.95,37.17298381086541,35.924798756688965,0,0,0,,,,,,0,0,0,0,,,,66719,79963.55
1360333800,39.03999,39.25,38.845,39.08,37.55438704869233,36.211635233353604,0,0,0,,,,,,0,0,0,0,,,,69522,78098.45
1360593000,39.22,39.99001,38.57001,39.17,37.87750963895386,36.48057748486691,0,0,0,,,,,,0,0,0,0,,,,63946,77319.1
1360679400,39.35001,39.77,39.25999,39.53,38.20800771116309,36.75779771351537,0,0,0,,,,,,0,0,0,0,,,,140420,80955.6
1360765800,39.72,39.96001,39.38,39.44,38.454406168930475,37.00163428501398,0,0,0,,,,,,0,0,0,0,,,,80703,80869.5
1360852200,39.28,39.41701,38.56,38.84,38.53152493514438,37.1687584409218,0,0,0,,,,,,0,0,0,0,,,,105523,82062.8
1360938600,39.14999,39.14999,38.09,38.34,38.49321994811551,37.27523494629254,0,0,0,,,,,,0,0,0,0,,,,68615,78363.65
1361284200,38.48,39.33,38.32001,38.83,38.56057595849241,37.41657722390231,0,0,0,,,,,,0,0,0,0,,,,39300,70117.5
1361370600,39.07001,39.23,38.00999,38.06,38.46046076679393,37.47507020354755,0,0,0,,,,,,0,0,0,0,,,,66709,70933.1
1361457000,38.12,38.17,36.33,36.78,38.124368613435145,37.411882003225045,0,0,0,,,,,,0,0,0,0,,,,211406,78675.9
1361543400,36.87,37.17,36.342,37.00999,37.901492890748116,37.37534636656822,0,0,0,,,,,,0,0,0,0,,,,64841,80514.55
1361802600,36.92999,36.92999,35.23,35.64999,37.451192312598494,37.218495787789294,0,0,0,,,,,,0,0,0,0,,,,113766,83306.2
1361889000,35.71001,36.95,35.60001,36.21001,37.202955850078794,37.12681526162663,0,0,0,,,,,,0,0,0,0,,,,157177,88906.2
1361975400,36.16,36.52,35.9001,36.45,37.052364680063036,37.06528660147875,0,0,0,,,,,,0,0,0,0,,,,38568,87011.55
1362061800,36.41,38.67999,36.25,38.61,37.36389174405043,37.20571509225341,0,0,0,,,,,,0,0,0,0,,,,89788,90250.5
1362148200,38.28,38.28,36.7,37.56,37.40311339524034,37.23792281113947,0,0,0,,,,,,0,0,0,0,,,,95064,91509.65
1362407400,37.39999,39.48,37.3,39.44,37.81049071619227,37.43811164649043,0,0,0,,,,,,0,0,0,0,,,,75278,91401.8
