time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1608129000,26,30.01,22.61,29.47,,,0,0,0,,,,,,0,0,0,0,,,,13459751,
1608215400,28.6431,39.85,28.25,35.77,,,0,0,0,,,,,,0,0,0,0,,,,7042150,
1608301800,38.02,48.66,37.06,44.09,,,0,0,0,,,,,,0,0,0,0,,,,7266463,
1608561000,44,47.99,40,41.1,,,0,0,0,,,,,,0,0,0,0,,,,2833826,
1608647400,43.1,48.08,40.65,47.84,,,0,0,0,,,,,,0,0,0,0,,,,3731347,
1608733800,47.5,51.3984,43.02,46.32,,,0,0,0,,,,,,0,0,0,0,,,,3142408,
1608820200,46.59,47.47,42.5051,43.96,,,0,0,0,,,,,,0,0,0,0,,,,873425,
1609165800,44.31,45,38.05,42.63,,,0,0,0,,,,,,0,0,0,0,,,,1882237,
1609252200,42.04,42.49,39.51,40.75,41.32555555555555,,0,0,0,,,,,,0,0,0,0,,,,646398,
1609338600,41.2,41.5,38.1101,38.87,40.83444444444444,,0,0,0,,,,,,0,0,0,0,,,,1049533,
1609425000,38.2,40.95,36.26,40.75,40.81755555555556,,0,0,0,,,,,,0,0,0,0,,,,969034,
1609770600,40.34,45,38.05,43.99,41.45204444444445,,0,0,0,,,,,,0,0,0,0,,,,1347052,
1609857000,45.1,53.63,44.2001,48.37,42.835635555555555,,0,0,0,,,,,,0,0,0,0,,,,3590669,
1609943400,47.05,57,45.14,52.14,44.69650844444445,,0,0,0,,,,,,0,0,0,0,,,,2903194,
1610029800,55.99,61.26,55.04,55.39,46.83520675555556,,0,0,0,,,,,,0,0,0,0,,,,1518920,
1610116200,58,58,50.28,52.73,48.01416540444445,,0,0,0,,,,,,0,0,0,0,,,,1407739,
1610375400,51,56,50.53,54.71,49.353332323555556,,0,0,0,,,,,,0,0,0,0,,,,1338175,
1610461800,56.11,63.5,55.53,62.48,51.978665858844444,,0,0,0,,,,,,0,0,0,0,,,,1830985,
1610548200,60.61,69.48,57.7,57.88,53.158932687075556,,0,0,0,,,,,,0,0,0,0,,,,1785613,
1610634600,60.92,67.4297,59.49,60.64,54.655146149660446,,0,0,0,,,,,,0,0,0,0,,,,1288652,2995378.55
1610721000,60.64,62.6,55.6,56,54.924116919728355,47.42285714285714,0,0,0,,,,,,0,0,0,0,,,,1409538,2392867.9
1611066600,58.13,61.63,53,54.28,54.79529353578268,48.04623376623376,0,0,0,,,,,,0,0,0,0,,,,1872415,2134381.15
1611153000,54.51,56.22,53.25,55.22,54.88023482862614,48.698394332939785,0,0,0,,,,,,0,0,0,0,,,,935527,1817834.35
1611239400,55.05,65.29,55.05,63.77,56.65818786290092,50.06854030267253,0,0,0,,,,,,0,0,0,0,,,,1702374,1761261.75
1611325800,62.4,64.88,58.53,64.47,58.22055029032073,51.37776391152048,0,0,0,,,,,,0,0,0,0,,,,1241616,1636775.2
1611585000,65,72.67,64.01,67.36,60.04844023225658,52.83069446501862,0,0,0,,,,,,0,0,0,0,,,,1781029,1568706.25
1611671400,67.71,68.69,63.3,64.45,60.928752185805266,53.88699496819874,0,0,0,,,,,,0,0,0,0,,,,1506598,1600364.9
1611757800,60.07,70.8,58,64.7,61.683001748644216,54.86999542563522,0,0,0,,,,,,0,0,0,0,,,,1398431,1576174.6
1611844200,64.54,67.4125,63.52,65.15,62.37640139891538,55.80454129603201,0,0,0,,,,,,0,0,0,0,,,,617802,1574744.8
1611930600,64.56,67.4,60.12,62.19,62.3391211191323,56.38503754184728,0,0,0,,,,,,0,0,0,0,,,,721699,1558353.1
1612189800,63,70.85,61.9,70.25,63.921296895305844,57.64548867440662,0,0,0,,,,,,0,0,0,0,,,,812960,1550549.4
1612276200,71.04,80,71.04,75.47,66.23103751624467,59.26589879491511,0,0,0,,,,,,0,0,0,0,,,,1061343,1536263.95
1612362600,76.93,81.91,76.51,79.75,68.93483001299573,61.12808981355919,0,0,0,,,,,,0,0,0,0,,,,854626,1399461.8
1612449000,80.55,81.09,74.19,75.75,70.29786401039658,62.4573543759629,0,0,0,,,,,,0,0,0,0,,,,720152,1290309.7
1612535400,76.14,79.78,74.01,75.24,71.28629120831727,63.61941306905718,0,0,0,,,,,,0,0,0,0,,,,542316,1241479.5
1612794600,77.34,78.34,74.1,76,72.22903296665382,64.74492097187016,0,0,0,,,,,,0,0,0,0,,,,713307,1206757.9
1612881000,75.92,82.75,75.5166,80.25,73.83322637332306,66.15447361079106,0,0,0,,,,,,0,0,0,0,,,,902208,1184959.55
1612967400,80.91,91.39,78.71,91.04,77.27458109865844,68.41679419162824,0,0,0,,,,,,0,0,0,0,,,,1080836,1147452.1
1613053800,93.5,105.58,92.55,95.13,80.84566487892675,70.84526744693477,0,0,0,,,,,,0,0,0,0,,,,1432969,1129819.9
1613140200,93,102.21,92.62,102.18,85.1125319031414,73.69387949721343,0,0,0,,,,,,0,0,0,0,,,,646025,1097688.55
1613485800,104.77,105,90.2702,92.28,86.54602552251312,75.38352681564858,0,0,0,,,,,,0,0,0,0,,,,1053900,1079906.65
1613572200,91.75,92.2686,84.1351,87.24,86.68482041801049,76.46138801422597,0,0,0,,,,,,0,0,0,0,,,,941756,1033373.7
1613658600,84,84.52,78.5,82.32,85.81185633440839,76.9939891038418,0,0,0,,,,,,0,0,0,0,,,,1016577,1037426.2
1613745000,83.75,93,83.5,89.73,86.59548506752671,78.15180827621981,0,0,0,,,,,,0,0,0,0,,,,753732,989994.1
1614004200,87.3,89.49,75.06,77.01,84.67838805402137,78.04800752383619,0,0,0,,,,,,0,0,0,0,,,,1081699,981998.25
1614090600,72.95,75.38,61.01,73.06,82.3547104432171,77.59455229439654,0,0,0,,,,,,0,0,0,0,,,,1703111,978102.35
1614177000,73.74,83.29,72.01,74.51,80.78576835457368,77.31413844945139,0,0,0,,,,,,0,0,0,0,,,,985584,952051.65
1614263400,74.08,79.62,66.08,68.52,78.33261468365895,76.51467131768308,0,0,0,,,,,,0,0,0,0,,,,1423157,953287.95
1614349800,68.79,71.88,63.35,65.64,75.79409174692715,75.52606483425734,0,0,0,,,,,,0,0,0,0,,,,1558583,1000327
1614609000,66.78,73.46,65.87,66.65,73.96527339754172,74.71914984932485,0,0,0,,,,,,0,0,0,0,,,,1315048,1029994.45
1614695400,67.21,67.76,58.29,60.36,71.24421871803338,73.41377259029532,0,0,0,,,,,,0,0,0,0,,,,1772288,1077960.85
1614781800,61.7,63.005,55.6001,57.58,68.5113749744267,71.9743387184503,0,0,0,,,,,,0,0,0,0,,,,1610341,1105410.75
1614868200,56.15,59.545,49.09,54.92,65.79309997954137,70.42394428950027,0,0,0,,,,,,0,0,0,0,,,,2218934,1173626.15
1614954600,54.54,55.29,42.5105,51.16,62.86647998363309,68.67267662681843,0,0,0,,,,,,0,0,0,0,,,,2322120,1253724.55
1615213800,50.6663,52.2227,45.1423,46.87,59.66718398690647,66.69061511528948,0,0,0,,,,,,0,0,0,0,,,,1382279,1295722.7
1615300200,49.395,55.45,49.05,53.24,58.38174718952518,65.46783192299043,0,0,0,,,,,,0,0,0,0,,,,2035157,1361815.2
1615386600,57.3,58.55,52.12,52.99,57.303397751620146,64.33348356635493,0,0,0,,,,,,0,0,0,0,,,,1540877,1393748.65
1615473000,54.75,59.55,54.05,59.24,57.690718201296114,63.87043960577721,0,0,0,,,,,,0,0,0,0,,,,1260699,1402741.8
1615559400,53.5,58.5,53.5,58,57.752574561036894,63.33676327797928,0,0,0,42.5105,105.58,,,,1,1,1,1,,,,1130195,1387603.1
1615815000,58.89,63.01,56.83,62.93,58.78805964882952,63.29978479816298,0,0,0,42.5105,105.58,,,,1,1,1,1,,,,1434831,1427043.4
1615901400,62.27,64.5,56.85,60.05,59.040447719063614,63.0043498165118,0,0,0,42.5105,105.58,,,,1,1,1,1,,,,1266420,1437669.4
1615987800,56.775,62.26,54.5,60.79,59.39035817525089,62.803045287738,0,0,0,42.5105,105.58,,,,1,1,1,1,,,,2762873,1528725.25
1616074200,83.54,124.75,81.96,115.09,70.5302865402007,67.55640480703455,1,0,0,42.5105,105.58,,,,2,1,1,1,1,,,21520788,2553935.8
1616160600,108,128.8,106.5971,125.28,81.48022923216057,72.80400437003141,0,1,0,42.5105,105.58,,,,3,1,1,1,,1,,8769694,2954733.9
1616419800,127.94,165.66,124.0544,164.87,98.15818338572845,81.1736403363922,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,8566559,3328976.9
1616506200,159.9743,164.06,115.58,118.48,102.22254670858275,84.56512757853837,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,11899112,3838776.95
1616592600,121.8787,134.16,110.11,112.28,104.2340373668662,87.08466143503487,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,5499431,4064469.3
1616679000,106.3,130.359,105.95,123.73,108.13322989349297,90.41605585003171,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,3820893,4184356.1
1616765400,125,144.86,118.25,142.95,115.09658391479437,95.19186895457428,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,3260354,4269444.65
1617024600,140.8,156.93,132.5301,134.49,118.9752671318355,98.76442632234026,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2652448,4336314.65
1617111000,133.48,137.61,122.6,129.28,121.0362137054684,101.53856938394568,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,1521903,4323795.4
1617197400,131.63,137.7878,128,128.86,122.60097096437472,104.02233580358698,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,1137727,4300164.7
1617283800,133.94,147.4799,133,144.28,126.93677677149978,107.68212345780636,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,1871593,4282797.65
1617629400,147.708,156.2699,136,140.52,129.65342141719984,110.66738496164214,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2029189,4268151.1
1617715800,140.29,145.78,138.06,144.3,132.58273713375988,113.72489541967468,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,1018706,4249972.45
1617802200,136.55,138.97,123.81,126.07,131.2801897070079,114.8471776542497,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2674534,4281941.3
1617888600,128.51,128.98,119.1801,123.33,129.69015176560632,115.61834332204519,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2548890,4332341.95
1617975000,122,134,118,127.29,129.21012141248505,116.67940302004108,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,4545446,4496579.3
1618234200,127.75,127.95,111.2,112.46,125.86009712998803,116.29582092731007,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2891054,4584622.25
1618320600,111.88,114.27,102.69,110.46,122.78007770399043,115.76529175210007,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,3733059,4699533.65
1618407000,110.23,115.5599,104.3,104.51,119.12606216319234,114.74208341100007,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2062503,4739337.8
1618493400,109.29,116.96,105.69,110.4,117.38084973055388,114.3473485554546,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2347314,4718559.85
1618579800,111.08,111.2299,103.0001,104.65,114.8346797844431,113.46577141404964,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,1584794,3721760.15
1618839000,104.42,104.42,93.6224,97.55,111.37774382755448,112.01888310368149,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2723645,3419457.7
1618925400,96.33,101,90.3753,91.79,107.46019506204358,110.17989373061954,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,1626178,3072438.65
1619011800,91.4,101.34,89.33,100.61,106.09015604963487,109.3099033914723,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,1713111,2563138.6
1619098200,102.5,108.3,99.23,101.44,105.16012483970789,108.59445762861118,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2104563,2393395.2
1619184600,102.98,111.95,102.46,107.38,105.60409987176631,108.48405238964652,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2120344,2308367.75
1619443800,108.8093,114.8,108.01,111.24,106.73127989741305,108.73459308149684,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,1936438,2242171.95
1619530200,114.94,123.0879,112.3,116.33,108.65102391793043,109.42508461954259,0,0,0,42.5105,105.58,,,,3,1,1,1,,,,2629879,2241043.5
1619616600,116.93,120.46,111.239,113.75,109.67081913434434,109.81825874503872,0,0,0,89.33,165.66,,,,1,1,1,1,,,,1648323,2247364.5
1619703000,115.7,116,103,108.56,109.44865530747548,109.70387158639883,0,0,0,89.33,165.66,,,,1,1,1,1,,,,2145302,2297743.25
