id,scheme,sizing,passes,val_long_pnl,val_short_pnl,val_skipped_side_cap,yearly,train_total_return_pct,val_total_return_pct,train_cagr,val_cagr,train_max_drawdown_pct,val_max_drawdown_pct,train_win_rate,val_win_rate,train_profit_factor,val_profit_factor,train_num_trades,val_num_trades,train_avg_holding_days,val_avg_holding_days,train_n_target_hit,val_n_target_hit,train_n_stop_hit,val_n_stop_hit
REF_long_only,shared pool,fixed2L,True,516352.6346330616,0.0,0,2025: +17.0%  2026: +7.7%,75.92303595154416,25.922631731653123,17.5798507101254,16.605930396881764,10.07009275602524,9.574876863090857,0.6569037656903766,0.5827814569536424,1.9978103260030369,1.451384720351733,239,151,28.539748953974897,27.728476821192054,23,17,79,54
REF_short_only,shared pool,fixed2L,False,0.0,-187154.93937917252,0,2025: -12.8%  2026: +4.1%,-20.293329514173198,-9.263246968958615,-6.295818862313951,-6.2736058159112655,37.04995174278997,24.775875951896246,0.4784688995215311,0.49382716049382713,0.8011749554117279,0.8096683438347012,209,81,28.535885167464116,57.93827160493827,10,2,108,33
COMB00,shared pool,fixed2L,True,148533.2671179973,77023.16189519699,0,2025: +5.2%  2026: +5.9%,37.17444710850042,11.38282145065972,9.485248081647125,7.449654575460074,10.142400884634775,9.585685377739333,0.5815384615384616,0.5642857142857143,1.2726421046299703,1.1713753565685787,325,140,29.224615384615383,37.97142857142857,28,9,133,53
COMB01,shared pool,pctEq10,True,16974.945490355407,32141.38997978701,0,2025: +2.6%  2026: +0.0%,42.62074616671625,2.557314781766329,10.714239034631978,1.6973008748252916,12.17212558321618,9.989221605683,0.5867507886435331,0.5419847328244275,1.255152608002121,1.0340749227951034,317,131,29.07255520504732,39.091603053435115,26,7,129,52
COMB02,8 long / 2 short,fixed2L,True,489652.8090011839,-77619.81169278655,445,2025: +14.9%  2026: +5.0%,58.801978023784706,20.70664986541988,14.178537088299525,13.363967172558544,8.679088311972679,5.758541571543898,0.6094890510948905,0.5821917808219178,1.5975486706810713,1.3506478907687334,274,146,28.32846715328467,30.71232876712329,23,16,103,53
COMB03,8 long / 2 short,pctEq10,True,521797.18957801256,-68271.23017625438,428,2025: +16.1%  2026: +5.8%,73.39653187741007,22.79528681281604,17.093232770441503,14.667647719020959,9.165239378813531,7.229184085283406,0.6094890510948905,0.5906040268456376,1.5591932142042715,1.3300400793349125,274,149,28.306569343065693,29.85234899328859,23,18,103,54
COMB04,7 long / 3 short,fixed2L,True,437448.85731638316,-33116.42206129183,442,2025: +12.2%  2026: +7.2%,49.112437554042465,20.32162176275458,12.136148770570077,13.122822767210307,7.699800602241442,5.00139196667936,0.5964285714285714,0.581081081081081,1.4671356581862056,1.3339499499476206,280,148,28.585714285714285,31.12162162162162,25,15,109,54
COMB05,7 long / 3 short,pctEq10,True,463144.4250256121,-30904.94357058046,438,2025: +12.6%  2026: +8.2%,58.13319902743537,21.741507247268355,14.040471520562004,14.01083429659531,8.892293453350437,5.775738588447106,0.5971223021582733,0.5743243243243243,1.431029042768545,1.3219864646612673,278,148,28.133093525179856,31.054054054054053,25,15,108,54
COMB06,6 long / 4 short,fixed2L,True,198138.58562206087,11107.568376068672,447,2025: +1.6%  2026: +8.8%,45.90752138597616,10.56730769990648,11.439799964263297,6.924654487523951,6.168455633714053,5.251677098263877,0.5944055944055944,0.5734265734265734,1.4231491399572491,1.1627538489015032,286,143,28.178321678321677,33.42657342657343,23,14,112,53
COMB07,6 long / 4 short,pctEq10,True,73468.83168794918,11802.247821702736,408,2025: -2.6%  2026: +7.2%,64.29608411105576,4.375252859303691,15.297353870560615,2.895298717428707,7.223983774622644,8.748165307749293,0.6035087719298246,0.5319148936170213,1.4458903920831703,1.0645321253246434,285,141,27.86315789473684,31.929078014184398,23,14,109,57
COMB08,5 long / 5 short,fixed2L,True,19848.499945179123,29835.168006607273,418,2025: -3.2%  2026: +6.0%,36.076189350294975,2.5891833975892897,9.233218514762687,1.7183625617245735,7.043627088505003,8.371901918384014,0.5767918088737202,0.5492957746478874,1.309098064397373,1.0370397652716674,293,142,27.84641638225256,32.99295774647887,21,12,121,56
COMB09,5 long / 5 short,pctEq10,True,96814.3564696162,-10361.268169008354,400,2025: -2.6%  2026: +7.3%,42.10168936893366,4.42444624704299,10.598568969583265,2.927619380723079,9.645070107769492,9.279235532164222,0.5769230769230769,0.5492957746478874,1.2956955995593045,1.0629754133685934,286,142,27.5,32.45070422535211,20,12,118,56
