id,stage,parent,entry_fill,min_candle_pos,green_only,rel_vol,min_rr,early_pct,be_arm_r,trail_pct,sizing,rotation,passes,train_total_return_pct,val_total_return_pct,train_cagr,val_cagr,train_max_drawdown_pct,val_max_drawdown_pct,train_win_rate,val_win_rate,train_profit_factor,val_profit_factor,train_num_trades,val_num_trades,train_avg_holding_days,val_avg_holding_days,train_n_target_hit,val_n_target_hit,train_n_stop_hit,val_n_stop_hit
BASE_raw_v21,baseline,,close,,False,,,,,,fixed2L,none,False,-44.70534829186269,-3.5838604355436954,-15.62215605509808,-2.4032019897351153,55.864645269720334,23.206323564340007,0.41517857142857145,0.47368421052631576,0.6396178348958693,0.9274454976714893,224,95,31.941964285714285,52.642105263157895,94,43,125,43
BASE_krish_manual,baseline,,close,0.6,True,gt_prev,1.0,70.0,,,fixed2L,none,False,-25.714406943396185,-11.162425759812022,-8.169080044158317,-7.58574976494052,42.50717903844029,24.038112224772664,0.45263157894736844,0.5,0.7334222775107271,0.7807365293920434,190,84,27.50526315789474,55.666666666666664,9,2,101,34
A000,A,,close,,False,,,,,,fixed2L,none,False,-44.70534829186269,-3.5838604355436954,-15.62215605509808,-2.4032019897351153,55.864645269720334,23.206323564340007,0.41517857142857145,0.47368421052631576,0.6396178348958693,0.9274454976714893,224,95,31.941964285714285,52.642105263157895,94,43,125,43
A001,A,,next_open,,False,,,,,,fixed2L,none,False,-45.17243520160118,-24.608039543454787,-15.827119571033133,-17.160904927713528,59.62891180773422,31.42867468905532,0.4358974358974359,0.43373493975903615,0.6410724983589718,0.5927532137101919,234,83,29.824786324786324,52.096385542168676,100,36,129,40
A002,A,,close,,False,,0.75,,,,fixed2L,none,False,-39.995571504401504,-0.19361543928976266,-13.621399568141012,-0.1290892143347433,51.80938776613153,22.464586274348868,0.37435897435897436,0.4634146341463415,0.6424382056678304,0.9933597226020957,195,82,37.62564102564102,62.0609756097561,70,36,120,36
A003,A,,next_open,,False,,0.75,,,,fixed2L,none,False,-33.97412696641112,-9.062950969897498,-11.220464535542074,-6.135757682415988,51.518765429889946,27.184136012611788,0.3925233644859813,0.4,0.6998356631974191,0.7925882220049068,214,65,34.55140186915888,69.1076923076923,80,25,128,31
A004,A,,close,,False,,1.0,,,,fixed2L,none,False,-37.33618008215353,6.195578283668213,-12.540767990957836,4.087917468116964,49.29018788372115,22.915318537521422,0.3723404255319149,0.49295774647887325,0.6498647684379542,1.1492682785670774,188,71,37.287234042553195,71.15492957746478,66,32,116,29
A005,A,,next_open,,False,,1.0,,,,fixed2L,none,False,-30.03862652100089,-7.9607207039004475,-9.734542299219173,-5.378981589814879,47.175223985534785,26.18789425991423,0.37755102040816324,0.421875,0.7176949601730234,0.8264091751409053,196,64,35.19897959183673,72.46875,70,26,120,29
A006,A,,close,,False,,1.5,,,,fixed2L,none,False,-46.012779432047104,-5.142821616826954,-16.199031157449216,-3.4578525478030753,50.098638001704764,16.303447223260513,0.22077922077922077,0.3684210526315789,0.2217278264209816,0.8646684995847045,77,57,33.81818181818182,77.14035087719299,12,19,60,29
A007,A,,next_open,,False,,1.5,,,,fixed2L,none,False,-42.05136072860567,-4.861924960001063,-14.480416639238026,-3.2673991270523506,47.369512823922186,16.279090243898715,0.21794871794871795,0.36666666666666664,0.2574061367458548,0.8739852530460951,78,60,32.217948717948715,73.43333333333334,12,20,61,30
A008,A,,close,,False,gt_prev,,,,,fixed2L,none,False,-44.26659399295815,2.760198585987572,-15.430747102386189,1.8313477447772675,56.31248193850368,22.94137745969298,0.43243243243243246,0.5217391304347826,0.6430835364946228,1.0549239714194283,222,92,32.707207207207205,55.16304347826087,96,46,121,36
A009,A,,next_open,,False,gt_prev,,,,,fixed2L,none,False,-30.695917782886184,-15.55105261064611,-9.978493262247978,-10.654231279089366,48.49341534858959,27.26321184791447,0.46530612244897956,0.47435897435897434,0.7505484449555986,0.7307108430567767,245,78,30.151020408163266,58.14102564102564,112,35,127,35
